review,rating,sentiment,language
the quality was worst.,2,bad,english
bhatura bahut ghatiya hai.,1,bad,hindi
butter chicken ekdum bekar hai.,1,bad,hindi
aaj palak paneer mazza aa gaya si.,4,good,punjabi
experience is amazing.,5,good,english
idli chala ruchi ledu.,2,bad,telugu
palak paneer was absolutely unpleasant.,2,bad,english
aaj ka pulao badiya tha.,5,good,hindi
palak paneer full chennagide.,5,good,kannada
dal makhani tinte chandalanga undi anipinchindi.,1,bad,telugu
curd was absolutely amazing.,5,good,english
uttapam kettadagide.,1,bad,kannada
breakfast mazza aa gaya hai.,5,good,punjabi
dinner pura vadiya hai.,5,good,punjabi
biryani pura vadiya hai.,5,good,punjabi
baingan bharta chala chetta.,1,bad,telugu
aloo gobi sakath.,5,good,kannada
pickle full super agide.,4,good,kannada
oota vadiya lagya.,4,good,punjabi
Eeroju rice chandalanga undi.,1,bad,telugu
pulao tumba kettadagide.,2,bad,kannada
paneer was absolutely tasty.,4,good,english
pulao jama khatam hai.,1,bad,punjabi
breakfast nodoke thu.,1,bad,kannada
pulao chala chetta.,1,bad,telugu
salad kha ke bakwaas feel hoya.,2,bad,punjabi
aaj kadai chicken maada si.,1,bad,punjabi
aaj ka chicken lajawab tha.,5,good,hindi
rice tumba sari illa.,2,bad,kannada
lunch bekar.,1,bad,kannada
I had a osm uttapam.,5,good,english
upma baledu.,2,bad,telugu
biryani ekdum bekar hai.,2,bad,hindi
roti ekdum badhiya hai.,5,good,hindi
upma pura bahut vadiya hai.,5,good,punjabi
methi paratha vadiya hai.,5,good,punjabi
salad mazza aa gaya lagya.,5,good,punjabi
"Loved da bhatura, it was tasty.",4,good,english
ivattu food thu.,2,bad,kannada
roti bahut bekaar hai.,1,bad,hindi
Really lovely vada.,4,good,english
mixed veg tumba sari illa.,1,bad,kannada
naan full sari illa.,1,bad,kannada
food chala bagundi.,5,good,telugu
dal makhani full bekar.,1,bad,kannada
aaj ka bhatura badiya tha.,5,good,hindi
kadai chicken asalu worst ga undi.,1,bad,telugu
the bhatura was gross.,1,bad,english
The staff was excellent.,5,good,english
Ivattu paratha super agide.,5,good,kannada
butter chicken chala bagundi.,5,good,telugu
Such a nice lunch.,4,good,english
kadai chicken mast hai.,5,good,hindi
The palak paneer tasted great.,5,good,english
pulao ruchi ga undi.,4,good,telugu
roti worst agide.,3,bad,kannada
dal was absolutely worst.,1,bad,english
mixed veg ganda hai.,2,bad,punjabi
idli swaad lagya.,5,good,punjabi
puri keka.,5,good,telugu
palak paneer kha ke mood kharab.,1,bad,hindi
staff was absolutely brilliant.,4,good,english
puri thu.,2,bad,kannada
"Hated the sambar, it was bad.",3,bad,english
aloo gobi bekar hai.,1,bad,hindi
aaj lunch maada si.,3,bad,punjabi
khana bahut zabardast hai.,4,good,hindi
pulao chala ruchi ledu.,1,bad,telugu
khana super agide.,5,good,kannada
biryani asalu worst ga undi.,2,bad,telugu
chicken kha ke maza aa gaya.,4,good,hindi
Really amazing sabzi.,5,good,english
the aloo gobi tasted fantastic.,5,good,english
khana waste hai.,1,bad,hindi
I had a unpleasant dal.,1,bad,english
aaj palak paneer mazza aa gaya si.,5,good,punjabi
Eeroju pulao daridram.,1,bad,telugu
idli nodoke sari illa.,2,bad,kannada
uttapam chetta.,2,bad,telugu
pulao super.,5,good,telugu
Ivattu pulao ruchi illa.,1,bad,kannada
dal makhani bahut bekar hai.,1,bad,hindi
rice worst agide.,2,bad,kannada
dessert ekdum gazab hai.,5,good,hindi
lunch tumba tumba chennagide.,5,good,kannada
curd bahut not good hai.,1,bad,hindi
uttapam thu.,1,bad,kannada
Eeroju curry waste.,3,bad,telugu
baingan bharta kha ke swaad ni feel hoya.,1,bad,punjabi
Eeroju breakfast super.,4,good,telugu
mushroom masala kha ke bakwaas feel hoya.,3,bad,punjabi
"hated the kadai chicken, it was nasty.",1,bad,english
meal kha ke maada feel hoya.,2,bad,punjabi
methi paratha daridram.,1,bad,telugu
chole kha ke att feel hoya.,5,good,punjabi
mushroom masala kha ke mood kharab.,1,bad,hindi
ivattu pickle chennagide.,4,good,kannada
The palak paneer was amazing.,5,good,english
Eeroju curd chandalanga undi.,1,bad,telugu
bhatura bahut ghatiya hai.,1,bad,hindi
chapati sari illa.,1,bad,kannada
aaj ka aloo gobi mood kharab tha.,2,bad,hindi
pulao pura swaad hai.,5,good,punjabi
chutney chala super.,4,good,telugu
Eeroju aloo gobi kirrak.,4,good,telugu
raita tinte ruchi ledu anipinchindi.,1,bad,telugu
khana is disgusting.,3,bad,english
rice was absolutely great.,5,good,english
The chapati tasted great.,5,good,english
dessert bekar.,2,bad,kannada
aaj ka uttapam swadisht tha.,4,good,hindi
egg curry worst agide.,1,bad,kannada
dal makhani nodoke ruchi illa.,1,bad,kannada
breakfast kha ke sira feel hoya.,5,good,punjabi
poha tumba waste.,1,bad,kannada
aloo gobi nodoke tumba chennagide.,4,good,kannada
uttapam full tumba chennagide.,4,good,kannada
poha ekdum bakwas hai.,2,bad,hindi
vada was absolutely tasteless.,2,bad,english
food is unpleasant.,1,bad,english
raita tinte chala baledu anipinchindi.,2,bad,telugu
I had a osm mixed veg.,5,good,english
fish curry chala chala baledu.,1,bad,telugu
dal makhani nodoke bombat.,4,good,kannada
really fantastic breakfast.,4,good,english
raita nodoke thu.,1,bad,kannada
paratha tinte excellent ga undi anipinchindi.,5,good,telugu
i had a tasteless chole.,1,bad,english
meal bahut bekaar hai.,2,bad,hindi
roti kha ke maada feel hoya.,2,bad,punjabi
eeroju mushroom masala kirrak.,5,good,telugu
i had a unpleasant rice.,2,bad,english
Really bland mess.,1,bad,english
i had a brilliant bhojanam.,5,good,english
pulao nodoke waste.,1,bad,kannada
eeroju bhojanam ruchi ledu.,2,bad,telugu
vada ekdum waste hai.,3,bad,hindi
Really awful pulao.,1,bad,english
aaj ka curd bekar tha.,2,bad,hindi
aaj pickle swaad si.,5,good,punjabi
chutney kha ke swaad feel hoya.,5,good,punjabi
dal makhani kha ke bakwaas feel hoya.,1,bad,punjabi
aaj paneer changa si.,4,good,punjabi
really tasteless mushroom masala.,3,bad,english
aaj biryani maada si.,2,bad,punjabi
dosa badhiya hai.,5,good,hindi
aaj ka dal zabardast tha.,5,good,hindi
Really dreadful chole.,1,bad,english
ivattu meal mast agide.,4,good,kannada
chapati full super agide.,5,good,kannada
methi paratha full sakath.,5,good,kannada
really fantastic methi paratha.,4,good,english
palak paneer chala baledu.,1,bad,telugu
mixed veg kha ke maza aa gaya.,5,good,hindi
methi paratha sira hai.,5,good,punjabi
soup asalu chandalanga undi.,1,bad,telugu
Eeroju fish curry daridram.,1,bad,telugu
sabzi was absolutely perfect.,5,good,english
I had a osm dosa.,4,good,english
upma maada hai.,1,bad,punjabi
curd kha ke mood kharab.,2,bad,hindi
biryani is horrible.,2,bad,english
methi paratha tinte chandalanga undi anipinchindi.,2,bad,telugu
biryani jama fuddu hai.,2,bad,punjabi
butter chicken full thu.,1,bad,kannada
bhojanam kha ke swaad feel hoya.,4,good,punjabi
meal ekdum jhakaas hai.,5,good,hindi
palak paneer bahut awesome hai.,5,good,hindi
i had a dreadful palak paneer.,2,bad,english
fish curry att hai.,5,good,punjabi
baingan bharta full bombat.,4,good,kannada
dal makhani sahi hai hai.,5,good,hindi
bhatura tinte waste anipinchindi.,2,bad,telugu
ivattu mixed veg kettadagide.,1,bad,kannada
breakfast full tumba chennagide.,4,good,kannada
bhojanam was absolutely nasty.,1,bad,english
sabzi kha ke swaad feel hoya.,4,good,punjabi
pulao chennagide.,4,good,kannada
naan worst agide.,1,bad,kannada
aaj ka mushroom masala khatam tha.,2,bad,hindi
rice nodoke bekar.,1,bad,kannada
food ruchi ga undi.,5,good,telugu
pickle nodoke thu.,1,bad,kannada
really pathetic dosa.,1,bad,english
the salad tasted brilliant.,5,good,english
soup tumba bombat.,5,good,kannada
breakfast jama bakwaas hai.,3,bad,punjabi
paratha kha ke ganda feel hoya.,2,bad,punjabi
Really worst breakfast.,2,bad,english
palak paneer pura changa hai.,5,good,punjabi
sabzi pura swaad hai.,4,good,punjabi
food kha ke swaad ni feel hoya.,2,bad,punjabi
methi paratha chala baledu.,2,bad,telugu
khana kha ke mood kharab.,1,bad,hindi
aaj ka naan ghatiya tha.,1,bad,hindi
upma ekdum badiya hai.,5,good,hindi
da butter chicken tasted terrible.,2,bad,english
mushroom masala matram keka.,5,good,telugu
soup tumba ruchi agide.,4,good,kannada
Ivattu curry ruchi illa.,2,bad,kannada
curd ws absolutely horrible.,1,bad,english
The pickle tasted great.,5,good,english
The bhojanam tasted unpleasant.,1,bad,english
"Loved the quality, it was wonderful.",5,good,english
baingan bharta bahut swadisht hai.,5,good,hindi
food keka.,4,good,telugu
palak paneer pura mazza aa gaya hai.,5,good,punjabi
chicken tinte asalu baledu anipinchindi.,1,bad,telugu
I had a amazing mess.,5,good,english
chicken full super agide.,5,good,kannada
Eeroju fish curry chetta.,2,bad,telugu
The kadai chicken was osm.,5,good,english
curd ganda hai.,2,bad,punjabi
dosa full chennagilla.,2,bad,kannada
kadai chicken kha ke ganda feel hoya.,1,bad,punjabi
kadai chicken maada hai.,1,bad,punjabi
curry nodoke ruchi illa.,1,bad,kannada
aaj pulao sira si.,5,good,punjabi
pulao bekar hai.,1,bad,punjabi
paratha nodoke keka.,5,good,kannada
really nasty rajma.,1,bad,english
aaj meal fuddu si.,1,bad,punjabi
poha nodoke worst agide.,1,bad,kannada
khana pura sira hai.,5,good,punjabi
paratha tumba ruchi agide.,5,good,kannada
da quality was worst.,3,bad,english
Ivattu poha chennagide.,5,good,kannada
baingan bharta kha ke swaad ni feel hoya.,2,bad,punjabi
aaj ka puri ghatiya tha.,1,bad,hindi
biryani changa lagya.,4,good,punjabi
puri kha ke bakwaas feel hoya.,2,bad,punjabi
kadai chicken waste hai.,1,bad,hindi
salad ekdum bakwas hai.,2,bad,hindi
curry kha ke ganda feel hoya.,2,bad,punjabi
mixed veg kha ke maza aa gaya.,5,good,hindi
ivattu sabzi bombat.,5,good,kannada
the methi paratha was delicious.,4,good,english
butter chicken nodoke thu.,2,bad,kannada
biryani tumba ruchi illa.,1,bad,kannada
soup full chennagide.,5,good,kannada
bhatura pura sira hai.,4,good,punjabi
rajma mast hai.,5,good,hindi
dal asalu chala baledu.,1,bad,telugu
vada chala super.,5,good,telugu
bhatura full bekar.,1,bad,kannada
uttapam ekdum badiya hai.,5,good,hindi
naan kha ke swaad ni feel hoya.,2,bad,punjabi
salad was absolutely dreadful.,1,bad,english
breakfast bahut not good hai.,1,bad,hindi
lunch tinte chetta anipinchindi.,2,bad,telugu
aaj paneer maada si.,2,bad,punjabi
dinner jhakaas hai.,5,good,hindi
aaj curd fuddu si.,3,bad,punjabi
paneer bahut mood kharab hai.,1,bad,hindi
I had a bad dinner.,2,bad,english
sabzi full tumba chennagide.,5,good,kannada
sambar super agide.,5,good,kannada
salad bahut kharaab hai.,1,bad,hindi
Ivattu mushroom masala sakath.,5,good,kannada
fish curry jama ganda hai.,1,bad,punjabi
baingan bharta bekar hai.,3,bad,punjabi
pulao bahut lajawab hai.,5,good,hindi
oota kha ke att feel hoya.,5,good,punjabi
dal makhani kha ke sira feel hoya.,5,good,punjabi
really nasty dal makhani.,2,bad,english
khichdi bahut mood kharab hai.,1,bad,hindi
eeroju raita waste.,1,bad,telugu
fish curry matram excellent ga undi.,4,good,telugu
paratha tumba chennagide.,5,good,kannada
sabzi fuddu lagya.,3,bad,punjabi
curd was absolutely poor.,1,bad,english
bhojanam tumba chennagilla.,3,bad,kannada
service was absolutely horrible.,1,bad,english
eeroju methi paratha kirrak.,5,good,telugu
Such a poor dessert.,1,bad,english
khana was absolutely fantastic.,5,good,english
sabzi kha ke maza aa gaya.,4,good,hindi
khichdi full super agide.,5,good,kannada
biryani chala asalu baledu.,1,bad,telugu
chicken bakwas hai.,1,bad,hindi
soup tinte chala bagundi anipinchindi.,4,good,telugu
dal super.,5,good,telugu
biryani chala daridram.,2,bad,telugu
lunch tinte keka anipinchindi.,4,good,telugu
food kha ke maza aa gaya.,4,good,hindi
Really bad mushroom masala.,2,bad,english
i had a horrible bhojanam.,2,bad,english
rice bahut chii hai.,1,bad,hindi
aaj ka baingan bharta bekaar tha.,1,bad,hindi
"hated da aloo gobi, it ws awful.",2,bad,english
dosa ws absolutely pathetic.,1,bad,english
oota bahut bakwas hai.,1,bad,hindi
lunch jama ganda hai.,1,bad,punjabi
vada bahut bekaar hai.,1,bad,hindi
dosa nodoke sakath.,5,good,kannada
curd asalu chetta.,1,bad,telugu
aaj ka rice badhiya tha.,4,good,hindi
eeroju soup excellent ga undi.,5,good,telugu
puri kha ke vadiya feel hoya.,4,good,punjabi
The pulao was bland.,1,bad,english
kadai chicken tumba bekar.,1,bad,kannada
the dinner was great.,4,good,english
khana tumba sakath.,5,good,kannada
bhojanam tinte baga chesaru anipinchindi.,5,good,telugu
khana matram adhurs.,4,good,telugu
aaj roti swaad si.,5,good,punjabi
poha tumba sakath.,4,good,kannada
upma tinte bagundi anipinchindi.,5,good,telugu
Eeroju breakfast ruchi ga undi.,4,good,telugu
the lunch was bland.,2,bad,english
idli baga chesaru.,5,good,telugu
fish curry jama khatam hai.,1,bad,punjabi
Eeroju mushroom masala chala bagundi.,4,good,telugu
aaj ka curry khatam tha.,2,bad,hindi
sabzi chala kirrak.,5,good,telugu
meal pura vadiya hai.,5,good,punjabi
food full bombat.,5,good,kannada
fish curry is excellent.,4,good,english
lunch asalu worst ga undi.,2,bad,telugu
pickle tinte kirrak anipinchindi.,5,good,telugu
vada kha ke changa feel hoya.,5,good,punjabi
aaj meal swaad si.,5,good,punjabi
sabzi kha ke ghaint feel hoya.,5,good,punjabi
methi paratha tinte kirrak anipinchindi.,4,good,telugu
food matram ruchi ga undi.,5,good,telugu
bhojanam chala waste.,1,bad,telugu
fish curry tumba tumba chennagide.,4,good,kannada
Such a nasty dal makhani.,3,bad,english
bhojanam sira hai.,5,good,punjabi
pickle bahut bekaar hai.,3,bad,hindi
khana adhurs.,5,good,telugu
eeroju pickle ruchi ga undi.,4,good,telugu
pulao ekdum bekar hai.,1,bad,hindi
the uttapam tasted horrible.,2,bad,english
khana bekaar hai.,2,bad,hindi
The palak paneer tasted osm.,5,good,english
eeroju paneer chandalanga undi.,1,bad,telugu
methi paratha kha ke maza aa gaya.,5,good,hindi
vada bombat.,5,good,kannada
vada tinte worst ga undi anipinchindi.,1,bad,telugu
Ivattu food ruchi illa.,1,bad,kannada
fish curry waste.,2,bad,kannada
aaj puri changa si.,5,good,punjabi
salad pura ghaint hai.,5,good,punjabi
baingan bharta tinte daridram anipinchindi.,3,bad,telugu
baingan bharta chii hai.,1,bad,hindi
fish curry kha ke maza aa gaya.,5,good,hindi
Such a good chole.,4,good,english
dessert kha ke swaad feel hoya.,5,good,punjabi
aaj fish curry sira si.,5,good,punjabi
bhojanam kha ke mood kharab.,1,bad,hindi
ivattu dinner keka.,5,good,kannada
paratha kha ke maza aa gaya.,5,good,hindi
eeroju dinner worst ga undi.,1,bad,telugu
aloo gobi is op.,5,good,english
khichdi nodoke chennagide.,5,good,kannada
vada adhurs.,5,good,telugu
kadai chicken nodoke chennagide.,5,good,kannada
aaj lunch khatam si.,1,bad,punjabi
dessert is excellent.,5,good,english
vada full chennagilla.,1,bad,kannada
upma tinte super anipinchindi.,5,good,telugu
curd tumba waste.,2,bad,kannada
Eeroju egg curry chetta.,3,bad,telugu
Ivattu khichdi waste.,3,bad,kannada
quality is terrible.,2,bad,english
aloo gobi khatam hai.,1,bad,punjabi
curd chala excellent ga undi.,5,good,telugu
baingan bharta matram ruchi ga undi.,5,good,telugu
rice is great.,5,good,english
paratha waste.,1,bad,kannada
i had a amazing roti.,5,good,english
dal bahut bakwas hai.,1,bad,hindi
mixed veg asalu chandalanga undi.,1,bad,telugu
pickle matram kirrak.,5,good,telugu
poha ekdum mast hai.,5,good,hindi
pulao bahut bekaar hai.,1,bad,hindi
upma tinte chala baledu anipinchindi.,2,bad,telugu
Such a lovely bhatura.,4,good,english
curd bekar hai.,2,bad,hindi
such a horrible biryani.,1,bad,english
aaj ka dal jhakaas tha.,5,good,hindi
upma asalu worst ga undi.,2,bad,telugu
I had a wonderful poha.,4,good,english
I had a bland mushroom masala.,1,bad,english
Ivattu soup sakath.,4,good,kannada
salad tumba super agide.,4,good,kannada
Eeroju roti adhurs.,5,good,telugu
The meal tasted unpleasant.,3,bad,english
bhatura matram super.,5,good,telugu
chapati adhurs.,5,good,telugu
"Loved the khana, it was great.",5,good,english
such a horrible rice.,1,bad,english
dessert full bekar.,1,bad,kannada
Such a bd rice.,2,bad,english
upma tinte daridram anipinchindi.,3,bad,telugu
vada nodoke keka.,5,good,kannada
salad jama fuddu hai.,1,bad,punjabi
baingan bharta kha ke bekar feel hoya.,2,bad,punjabi
aloo gobi jama ganda hai.,1,bad,punjabi
chicken chala worst ga undi.,2,bad,telugu
raita chala asalu baledu.,1,bad,telugu
lunch kha ke mood kharab.,2,bad,hindi
Such a wonderful soup.,5,good,english
lunch ruchi agide.,5,good,kannada
pickle bekar lagya.,1,bad,punjabi
the atmosphere tasted dreadful.,1,bad,english
food was absolutely nasty.,1,bad,english
aaj lunch mazza aa gaya si.,5,good,punjabi
dal chala ruchi ga undi.,5,good,telugu
paratha kha ke mood kharab.,2,bad,hindi
palak paneer kirrak.,5,good,telugu
baingan bharta jama bekar hai.,2,bad,punjabi
Really terrible meal.,2,bad,english
dessert fuddu lagya.,1,bad,punjabi
lunch chala chandalanga undi.,1,bad,telugu
baingan bharta ruchi agide.,4,good,kannada
khana bahut lajawab hai.,5,good,hindi
fish curry tinte chala bagundi anipinchindi.,4,good,telugu
bhatura full mast agide.,5,good,kannada
aaj ka dinner not good tha.,1,bad,hindi
dal makhani asalu baledu.,2,bad,telugu
dosa was absolutely wonderful.,4,good,english
chutney ekdum kharaab hai.,1,bad,hindi
dinner baledu.,1,bad,telugu
mixed veg pura sira hai.,5,good,punjabi
sambar tinte chandalanga undi anipinchindi.,3,bad,telugu
"Hated the staff, it was dreadful.",1,bad,english
oota pura att hai.,4,good,punjabi
methi paratha waste hai.,1,bad,hindi
ivattu chicken keka.,4,good,kannada
dosa chala chala bagundi.,5,good,telugu
oota chii hai.,3,bad,hindi
naan khatam hai.,1,bad,hindi
Eeroju sambar bagundi.,5,good,telugu
upma nodoke sakath.,5,good,kannada
sabzi kha ke bekar feel hoya.,2,bad,punjabi
puri kha ke att feel hoya.,5,good,punjabi
biryani was absolutely disgusting.,1,bad,english
sabzi bagundi.,5,good,telugu
paratha kha ke maza aa gaya.,5,good,hindi
dal tumba thu.,2,bad,kannada
puri ruchi agide.,4,good,kannada
dosa mast hai.,5,good,hindi
dal makhani changa hai.,4,good,punjabi
khichdi tinte waste anipinchindi.,2,bad,telugu
lunch chandalanga undi.,1,bad,telugu
Eeroju lunch chandalanga undi.,2,bad,telugu
breakfast sira hai.,5,good,punjabi
i had a awful chole.,1,bad,english
aaj aloo gobi bekar si.,1,bad,punjabi
soup bahut ek number hai.,4,good,hindi
Such a outstanding fish curry.,5,good,english
kadai chicken tinte keka anipinchindi.,5,good,telugu
khichdi jama bekaar hai.,2,bad,punjabi
rajma kha ke att feel hoya.,5,good,punjabi
quality is lovely.,5,good,english
puri bekar hai.,1,bad,punjabi
mixed veg chala baledu.,1,bad,telugu
such a disgusting meal.,2,bad,english
dessert asalu worst ga undi.,1,bad,telugu
I had a gross bhatura.,1,bad,english
ivattu mushroom masala thu.,1,bad,kannada
aaj raita att si.,5,good,punjabi
bhojanam asalu waste.,1,bad,telugu
egg curry full bekar.,2,bad,kannada
idli asalu worst ga undi.,2,bad,telugu
dessert ekdum jhakaas hai.,5,good,hindi
curd ekdum badiya hai.,5,good,hindi
idli was absolutely osm.,5,good,english
The sambar was pathetic.,2,bad,english
aaj oota khatam si.,1,bad,punjabi
bhatura nodoke sari illa.,1,bad,kannada
bhojanam changa hai.,4,good,punjabi
naan nodoke ruchi illa.,1,bad,kannada
mushroom masala kha ke swaad ni feel hoya.,1,bad,punjabi
