review,rating,sentiment
wonderful experience. The sabzi was great.,5,good
Absolute pleased meal. poha was rich.,5,good
Loved the variety in today's menu. Everything was hot and tasty.,5,good
North Indian thali was amazing!,5,good
The sabzi was good but could use more spices.,4,good
Idli was hard and cold.,2,bad
Not happy with dinner. curd was flavorful.,5,good
The chole served for meal was hard.,1,bad
Found the roti to be salty but chilled.,1,bad
lunch was fantastic. rajma tasted spicy.,5,good
Absolute poor meal. dessert was bad.,1,bad
Staff is polite and food is decent.,3,good
Absolute great meal. paratha was rich.,4,good
Sambhar was tasteless today.,2,bad
Found the khichdi to be burnt but cold.,2,bad
The chole served for lunch was perfect.,5,good
Worst dinner ever. Food was stale.,1,bad
wonderful experience. The paratha was perfect.,4,good
Very unhappy with the breakfast. sambar was stale.,1,bad
South Indian breakfast needs improvement.,3,good
Very great with the meal. chole was soft.,4,good
lunch was disappointed. dessert tasted undercooked.,1,bad
The sambar was soft and freshly made.,4,good
food was impressed. sabzi tasted tasty.,4,good
The curd was yummy and freshly made.,5,good
lunch was unhappy. dal tasted undercooked.,2,bad
Absolute poor meal. salad was bad.,2,bad
pathetic experience. The roti was poor.,1,bad
Very pleased with the food. chole was great.,5,good
frustrated experience. The chole was awful.,1,bad
lunch was pleased. soup tasted crispy.,4,good
Not happy with food. dosa was rich.,5,good
Loved the salad variety today.,4,good
Very bad with the meal. sambar was bad.,2,bad
The upma served for dinner was spicy.,5,good
pathetic experience. The sambar was bland.,2,bad
Really wonderful meal today. curd was fresh.,4,good
The upma was too dry and tasteless.,2,bad
Really pathetic meal today. biryani was hard.,1,bad
The upma was superb and freshly made.,5,good
Absolute delighted dinner. curd was crispy.,5,good
Not happy with dinner. sabzi was spicy.,5,good
The chole served for dinner was perfect.,5,good
Not happy with meal. roti was fresh.,4,good
Not happy with food. chole was horrible.,1,bad
Very good lunch. Roti and sabzi were perfect.,4,good
lunch was frustrated. khichdi tasted tasteless.,1,bad
Very delighted with the meal. poha was delicious.,5,good
Found the sambar to be spicy but piping hot.,5,good
Dessert was amazing! Loved the kheer.,5,good
breakfast was satisfied. rice tasted crispy.,5,good
Hot food served on time. Excellent.,4,good
rajma quality is poor. frustrated job.,1,bad
great experience. The chole was spicy.,4,good
Found the sambar to be flavorful but warm.,4,good
dessert quality is poor. poor job.,2,bad
Very delighted with the breakfast. curd was rich.,4,good
chicken quality is disgusting. poor job.,1,bad
Very terrible with the breakfast. khichdi was poor.,2,bad
Very bad with the food. idli was hard.,1,bad
Very disappointed with the lunch. dessert was awful.,1,bad
Rotis were fresh and hot.,4,good
The dessert served for meal was rich.,4,good
Really happy meal today. paratha was fresh.,4,good
food was fantastic. sabzi tasted tasty.,5,good
Absolute pathetic dinner. biryani was hard.,1,bad
lunch was frustrated. chole tasted disgusting.,2,bad
Absolute pathetic dinner. chole was stale.,1,bad
sambar quality is hard. poor job.,1,bad
satisfied experience. The poha was tasty.,4,good
meal was bad. paratha tasted awful.,1,bad
The poha served for food was overcooked.,2,bad
soup quality is flavorful. happy job.,5,good
roti quality is stale. pathetic job.,2,bad
Found the roti to be great but freshly made.,5,good
Not happy with breakfast. poha was authentic.,5,good
Really horrible lunch today. khichdi was terrible.,2,bad
Found the chole to be awful but cold.,1,bad
The breakfast idli was soft and perfect.,5,good
The salad was oily and cold.,2,bad
breakfast was pathetic. poha tasted overcooked.,1,bad
Really wonderful meal today. khichdi was amazing.,5,good
Not happy with meal. idli was tasty.,5,good
Really pathetic dinner today. soup was terrible.,1,bad
The roti served for dinner was crispy.,4,good
Very great with the breakfast. curd was great.,5,good
Found the biryani to be stale but lukewarm.,1,bad
Very impressed with the lunch. rice was delicious.,4,good
The mess has improved a lot lately. Great food!,5,good
The idli served for lunch was oily.,2,bad
Really frustrated dinner today. dal was poor.,2,bad
biryani quality is poor. horrible job.,1,bad
Food was okay. Nothing special but acceptable.,3,good
The curd served for dinner was poor.,2,bad
Found the khichdi to be spicy but warm.,5,good
Perfect combination of flavors.,4,good
The chutney was stale.,2,bad
Really disappointed dinner today. dal was awful.,2,bad
food was terrible. chicken tasted hard.,1,bad
The biryani served for lunch was tasteless.,2,bad
Absolute horrible lunch. dal was hard.,2,bad
Very unhappy with the lunch. sambar was poor.,2,bad
breakfast was wonderful. biryani tasted spicy.,4,good
The chole served for food was overcooked.,1,bad
The soup served for dinner was rich.,5,good
Dal was perfectly seasoned and tasty.,5,good
dosa quality is superb. pleased job.,4,good
Really wonderful food today. sambar was great.,4,good
Really good lunch today. biryani was soft.,4,good
Really great dinner today. salad was superb.,5,good
upset experience. The upma was stale.,1,bad
dinner was good. chole tasted great.,5,good
Dinner was disappointing. Cold food.,2,bad
Absolute horrible lunch. idli was overcooked.,2,bad
The chicken was disgusting and cold.,2,bad
The rice was rich and piping hot.,5,good
Very happy with the breakfast. khichdi was crispy.,5,good
Found the rajma to be salty but frozen.,2,bad
breakfast was good. upma tasted crispy.,5,good
The biryani served for food was awful.,1,bad
rajma quality is bad. disappointed job.,1,bad
Late serving. Food was cold.,2,bad
Decent lunch but portion size was small.,3,good
The dessert served for food was overcooked.,1,bad
breakfast was impressed. upma tasted fresh.,5,good
Very unhappy with the lunch. rajma was awful.,1,bad
Not happy with dinner. salad was crispy.,4,good
Rotis were burnt and inedible.,2,bad
Very good with the lunch. chicken was spicy.,5,good
dinner was poor. dosa tasted horrible.,1,bad
Rice was undercooked and hard.,2,bad
Found the dessert to be yummy but piping hot.,5,good
Thali was decent. Good variety.,4,good
Curd was fresh and tasty.,4,good
unhappy experience. The curd was bland.,1,bad
Really happy food today. poha was superb.,4,good
Not happy with food. poha was undercooked.,1,bad
lunch was happy. dal tasted rich.,4,good
Really wonderful lunch today. soup was tasty.,4,good
Very small portions. Still hungry.,2,bad
Not happy with dinner. salad was amazing.,4,good
Found the paneer to be horrible but lukewarm.,1,bad
Absolute wonderful breakfast. dessert was perfect.,5,good
roti quality is tasteless. terrible job.,2,bad
Breakfast was decent. Could add more variety.,3,good
Vegetables were stale and smelly.,1,bad
The chicken was disgusting and frozen.,2,bad
food was terrible. soup tasted tasteless.,1,bad
Absolute great breakfast. paratha was fresh.,4,good
The soup was delicious and hot.,5,good
good experience. The upma was fresh.,5,good
upma quality is yummy. delighted job.,4,good
Really delighted breakfast today. soup was amazing.,5,good
Loved the rajma chawal today.,5,good
Vegetables were fresh but undercooked.,3,good
rajma quality is tasteless. disappointed job.,2,bad
great experience. The dal was excellent.,4,good
The chicken was tasteless and frozen.,2,bad
Found the dessert to be terrible but lukewarm.,2,bad
Food was cold when served. Not acceptable.,2,bad
Really bad meal today. dal was terrible.,1,bad
Not happy with breakfast. chicken was fresh.,4,good
wonderful experience. The biryani was crispy.,5,good
The dosa was burnt and chilled.,1,bad
dinner was bad. khichdi tasted poor.,1,bad
salad quality is salty. frustrated job.,1,bad
Gravy was too spicy and oily.,2,bad
Absolute upset dinner. upma was tasteless.,2,bad
Thali was average. Nothing special.,3,good
The curd was terrible and frozen.,1,bad
Always delayed. Food quality suffers.,1,bad
Found the chicken to be amazing but warm.,4,good
Worst food quality ever. Inedible.,1,bad
The dal served for meal was oily.,2,bad
Good morning meal. Tea was great.,4,good
bad experience. The rice was stale.,1,bad
Not happy with dinner. idli was burnt.,1,bad
North Indian food was terrible.,1,bad
Lunch was fantastic! Biryani was delicious.,5,good
The biryani was rich and freshly made.,5,good
Rice quality is always top notch here.,5,good
The chicken served for dinner was disgusting.,1,bad
Very pleased with the food. upma was spicy.,5,good
meal was horrible. dal tasted awful.,2,bad
No dessert served today. Disappointed.,1,bad
salad quality is great. fantastic job.,5,good
Quantity is okay but quality needs work.,3,good
Absolute pleased meal. sambar was tasty.,4,good
breakfast was bad. idli tasted salty.,2,bad
Decent meal overall. Chapatis were soft and fresh.,4,good
rajma quality is overcooked. poor job.,1,bad
Amazing lunch spread today. Loved the chicken curry.,5,good
Found the rice to be overcooked but cold.,2,bad
disappointed experience. The paratha was disgusting.,2,bad
lunch was fantastic. chicken tasted authentic.,5,good
Chole bhature was delicious.,4,good
The khichdi was overcooked and cold.,1,bad
roti quality is rich. good job.,4,good
Dessert was okay. Could be better.,3,good
paneer quality is amazing. impressed job.,4,good
lunch was bad. soup tasted poor.,2,bad
Absolute frustrated food. dosa was poor.,1,bad
Food gets cold by the time we reach.,3,good
Not happy with meal. rice was spicy.,4,good
fantastic experience. The upma was tasty.,4,good
The idli served for meal was rich.,4,good
Found the upma to be excellent but warm.,5,good
Found the paneer to be excellent but hot.,4,good
Service is slow but food is okay.,3,good
unhappy experience. The chicken was disgusting.,2,bad
Found the paratha to be bad but lukewarm.,2,bad
The paratha was great and warm.,4,good
Really satisfied breakfast today. idli was rich.,5,good
The sambar was poor and cold.,1,bad
The dal was watery and had no taste at all.,1,bad
Very satisfied with the dinner. biryani was authentic.,4,good
Lunch was below average. Food was lukewarm.,2,bad
satisfied experience. The poha was spicy.,4,good
Absolute delighted meal. sambar was rich.,5,good
delighted experience. The chicken was amazing.,4,good
Absolute pleased lunch. dosa was yummy.,5,good
Absolute upset dinner. rice was undercooked.,1,bad
Very terrible with the dinner. salad was bad.,1,bad
bad experience. The poha was tasteless.,2,bad
Very pathetic with the food. rice was bad.,2,bad
The curd was amazing and warm.,4,good
The dosa served for meal was excellent.,5,good
Very satisfied with the meal. Good job mess team!,4,good
Found the roti to be tasteless but lukewarm.,1,bad
salad quality is awful. terrible job.,1,bad
Absolute fantastic meal. paneer was superb.,5,good
The rice served for breakfast was delicious.,5,good
breakfast was upset. paratha tasted poor.,2,bad
rice quality is tasty. happy job.,4,good
Vada was good but a bit oily.,4,good
Found the dal to be burnt but lukewarm.,1,bad
satisfied experience. The paratha was amazing.,4,good
Found the rice to be flavorful but piping hot.,5,good
Really pleased lunch today. idli was fresh.,5,good
Hygiene standards are good. Food is always fresh.,5,good
The upma was perfect and hot.,5,good
wonderful experience. The dosa was fresh.,4,good
South Indian food needs more variety.,3,good
dosa quality is crispy. satisfied job.,5,good
Breakfast was cold and boring.,2,bad
Found the sabzi to be tasteless but lukewarm.,1,bad
Very happy with the dinner. poha was yummy.,4,good
lunch was poor. roti tasted hard.,1,bad
Really pleased lunch today. salad was yummy.,4,good
upset experience. The rice was bad.,1,bad
Portion size is good. Food is tasty.,4,good
good experience. The dosa was superb.,4,good
dinner was poor. chole tasted horrible.,2,bad
The dal served for lunch was awful.,2,bad
bad experience. The khichdi was salty.,1,bad
idli quality is delicious. pleased job.,4,good
dinner was horrible. rice tasted stale.,2,bad
food was pleased. khichdi tasted flavorful.,5,good
food was great. biryani tasted flavorful.,4,good
chole quality is salty. unhappy job.,2,bad
Not happy with breakfast. paratha was overcooked.,1,bad
Absolute poor meal. chicken was bland.,1,bad
Absolute terrible breakfast. dosa was horrible.,2,bad
Not happy with lunch. chole was great.,5,good
Found the sabzi to be terrible but lukewarm.,1,bad
lunch was horrible. dessert tasted salty.,2,bad
Rice was spoiled and smelling.,1,bad
Found the idli to be awful but chilled.,2,bad
Food was smelling bad. Unhygienic.,1,bad
Really unhappy food today. upma was tasteless.,1,bad
Horrible lunch. Everything was undercooked.,1,bad
Really upset food today. salad was salty.,1,bad
Not happy with dinner. sambar was disgusting.,2,bad
Very delighted with the breakfast. dosa was rich.,4,good
Really impressed breakfast today. dosa was crispy.,5,good
Very pathetic with the lunch. dosa was tasteless.,1,bad
Very upset with the breakfast. curd was overcooked.,2,bad
Dal was too watery and bland.,2,bad
unhappy experience. The khichdi was overcooked.,1,bad
The soup served for dinner was oily.,2,bad
The sambar was hard and cold.,2,bad
Absolute pleased dinner. biryani was perfect.,5,good
Very horrible with the lunch. curd was horrible.,2,bad
frustrated experience. The curd was horrible.,2,bad
Sambhar was excellent today.,4,good
Very pathetic with the meal. dal was tasteless.,2,bad
Dinner was okay but nothing special.,3,good
Really satisfied food today. biryani was crispy.,4,good
Very great with the meal. idli was superb.,5,good
Not happy with food. sabzi was hard.,1,bad
The biryani was tasteless and chilled.,1,bad
Absolute frustrated lunch. sambar was awful.,1,bad
Found the salad to be flavorful but warm.,5,good
The paratha was authentic and freshly made.,4,good
Sweet dish was perfect. Not too sugary.,4,good
The idli served for lunch was excellent.,5,good
pleased experience. The idli was crispy.,5,good
Really pathetic food today. idli was undercooked.,2,bad
Dal was sour and tasted off.,1,bad
Really frustrated lunch today. rajma was burnt.,1,bad
Really frustrated food today. rice was terrible.,1,bad
Found the soup to be flavorful but freshly made.,4,good
Good dinner overall. Dal was tasty.,4,good
paratha quality is poor. frustrated job.,1,bad
The rajma was burnt and chilled.,1,bad
Found the khichdi to be soft but piping hot.,5,good
Found the curd to be amazing but piping hot.,4,good
food was horrible. paratha tasted salty.,2,bad
dosa quality is horrible. frustrated job.,1,bad
Terrible meal. Food was cold and stale.,1,bad
Clean environment and good food quality.,4,good
The rajma was bad and lukewarm.,2,bad
Terrible start to the day. Bad breakfast.,1,bad
The rice served for breakfast was fresh.,4,good
Chapatis were hard and difficult to eat.,2,bad
Absolute disappointed meal. upma was oily.,1,bad
Very poor with the dinner. salad was tasteless.,1,bad
poor experience. The upma was oily.,2,bad
Found the sambar to be awful but chilled.,1,bad
Not happy with lunch. poha was terrible.,1,bad
biryani quality is horrible. upset job.,2,bad
khichdi quality is terrible. bad job.,1,bad
The curd served for dinner was spicy.,4,good
The chapatis were soft and perfectly made.,5,good
The rajma was yummy and piping hot.,4,good
pathetic experience. The upma was disgusting.,2,bad
The dal was superb and warm.,5,good
dinner was poor. rice tasted overcooked.,2,bad
dinner was upset. dessert tasted bad.,1,bad
dinner was poor. paratha tasted bland.,2,bad
Really pleased dinner today. poha was great.,5,good
The paratha served for food was rich.,5,good
Really pleased lunch today. poha was perfect.,5,good
Found the khichdi to be fresh but hot.,4,good
Found the food tasteless and bland.,2,bad
Not happy with lunch. chicken was tasteless.,2,bad
Found the khichdi to be burnt but frozen.,1,bad
pleased experience. The sabzi was great.,4,good
breakfast was impressed. chicken tasted yummy.,5,good
The khichdi was flavorful and hot.,5,good
rajma quality is superb. happy job.,4,good
Very disappointed with the meal. curd was hard.,1,bad
Absolute impressed breakfast. khichdi was excellent.,4,good
