review,rating,sentiment,language
mess lo pakoda tasty ga undi undi,5,good,telugu
gulab jamun try karo daab aa gayi,5,good,punjabi
full halwa super aithu bro,4,good,kannada
mess ch chana dal solid taste si,5,good,punjabi
omelette mat khao bilkul ghatiya hai,1,bad,hindi
maggi khake bahut tasty feel aaya,5,good,hindi
mess gulab jamun eat cheyaleka,2,bad,telugu
mess gobi paratha lowkey straight garbage,1,bad,english
noodles na khao hai yaar,2,bad,punjabi
seriously boiled egg eat cheyaleka,1,bad,telugu
mess chana dal full disgusting aithu,1,bad,kannada
bhel puri try cheyakandi khali waste,1,bad,telugu
yaar sheera ekdum lajawab si si,5,good,punjabi
tried gobi paratha and it was bussin,5,good,english
mess burger full disgusting aithu,3,bad,kannada
chana dal try cheyakandi mood off,1,bad,telugu
boiled egg na khao hai yaar,1,bad,punjabi
coffee regret h bh,1,bad,hindi
manchurian try chesthe mast undi,5,good,telugu
manchurian try madi nalla aithu,5,good,kannada
mess ka burger bewakoof banaya,2,bad,hindi
kesari skip maadi kemp agide,2,bad,kannada
mess lo lassi tasty ga undi undi,5,good,telugu
mess alli gobi paratha maja bandide,4,good,kannada
mess lo chai manchi undi,5,good,telugu
yaar poori to ekdum ekdum zabardast,4,good,hindi
yaar dhokla to ekdum lajawab,4,good,hindi
tadka dal hits different legendary,4,good,english
mess cutlet full disgusting aithu,1,bad,kannada
bhai moong dal daab aa gayi hai,4,good,punjabi
bhai moong dal zabardast si hai,5,good,punjabi
nah kesari is not it,2,bad,english
yo jalebi was straight up absolutely fire,4,good,english
mess mein vada pav maja aa gaya full tha,4,good,hindi
mess mein bonda perfect tha tha,4,good,hindi
ninna chai tinte superb ga undi anipinchindi,5,good,telugu
bro burger was ruined my day,3,bad,english
pongal skip maadi disgusting aithu,1,bad,kannada
yaar rasgulla ekdum solid taste si,5,good,punjabi
yaar poori ekdum kamaal si,4,good,punjabi
bro pongal was L food,2,bad,english
toor dal try karo lajawab hai,5,good,hindi
mess ka gobi paratha paisa barbaad,1,bad,hindi
kesari try karo lajawab hai,5,good,hindi
mess momos disgusting,1,bad,telugu
bro halwa was ruined my day,2,bad,english
mess alli omelette nalla aithu,5,good,kannada
aloo paratha is straight disgusting af,2,bad,english
mess ch gulab jamun zabardast si si,4,good,punjabi
yaar noodles ekdum zabardast si si,4,good,punjabi
ninna chai tinte mast undi anipinchindi,5,good,telugu
mess mein toast full mast tha,4,good,hindi
mess burger is absolutely fire,5,good,english
tried bhajji and it was absolutely fire,5,good,english
uppit tini tarvata khali waste,1,bad,telugu
bhai seriously medu vada na khao,1,bad,punjabi
seriously bro dal fry ella illa,1,bad,kannada
full pulao tasty bandu bro,5,good,kannada
mess ch jalebi zabardast si si,5,good,punjabi
mess lo rasgulla tasty ga undi undi,5,good,telugu
seriously bro noodles bekagilla,1,bad,kannada
mess ch gobi paratha lajawab si si,5,good,punjabi
chana dal try madi yummy,4,good,kannada
halwa tini tarvata feel perfect ga undi,5,good,telugu
mess da masoor dal mood kharab ho gayi,1,bad,punjabi
mess ch burger kamaal si,5,good,punjabi
bhajji tinda mele maja bandide feel aaithu,5,good,kannada
chana dal try madi nalla aithu,4,good,kannada
jalebi tini tarvata feel perfect ga undi,5,good,telugu
bhai seriously bonda faltu,1,bad,punjabi
bhai seriously uppit regret ho reha,1,bad,punjabi
yo scrambled egg was straight up bussin,4,good,english
yaar rasgulla to ekdum lajawab,4,good,hindi
mess mein chai lajawab tha,5,good,hindi
maggi try chesthe perfect ga undi,5,good,telugu
dhokla try karo lajawab h,5,good,hindi
mess lo fried rice tasty ga undi undi,4,good,telugu
coffee khake bewakoof banaya feel,2,bad,hindi
dal fry try madi perfect,4,good,kannada
lassi iz straight ruined my day,1,bad,english
aloo paratha khake perfect tha feel aaya,4,good,hindi
bhai seriously pizza faltu,2,bad,punjabi
bhai dal fry kamaal hai,5,good,punjabi
bro pasta was mid,2,bad,english
bajji taste zero hai yaar,1,bad,punjabi
moong dal tini tarvata feel manchi,5,good,telugu
yaar coffee to ekdum lajawab,4,good,hindi
mess rasgulla lowkey mid,2,bad,english
mess soup lowkey L food,3,bad,english
bhai gobi paratha daab aa gayi hai,4,good,punjabi
tried scrambled egg and it was crazy good,4,good,english
manchurian is straight trash,1,bad,english
mess dal fry full mood spoil,1,bad,kannada
mess ka masoor dal bilkul ghatiya,1,bad,hindi
mess ka scrambled egg bilkul ghatiya,1,bad,hindi
gulab jamun khake taste zero feel,1,bad,punjabi
seriously bro halwa mood spoil,1,bad,kannada
medu vada tinda mele perfect feel aaithu,4,good,kannada
tried pasta and it was slaps,5,good,english
mess rasgulla baledu bro,2,bad,telugu
rasgulla tini tarvata taste leka,1,bad,telugu
aloo paratha khake regret feel,2,bad,hindi
appam skip karo na khao hai,1,bad,punjabi
masoor dal hits different crazy good,4,good,english
bhel puri try karo ekdum zabardast hai,5,good,hindi
full manchurian maja bandide bro,5,good,kannada
bro cutlet manchi,4,good,telugu
mess da pizza regret ho reha,1,bad,punjabi
samosa bilkul ghatiya hai bhai,1,bad,hindi
jalebi mat khao bewakoof banaya hai,1,bad,hindi
bhajji tinda mele yummy feel aaithu,5,good,kannada
sandwich tini tarvata baledu bro,1,bad,telugu
cutlet tinda mele bekagilla,1,bad,kannada
bonda skip maadi kemp agide,2,bad,kannada
kesari tini tarvata feel superb ga undi,5,good,telugu
medu vada try karo daab aa gayi,5,good,punjabi
pulao tinda mele disgusting aithu,1,bad,kannada
pulao tini tarvata feel mast undi,4,good,telugu
full poori full sakkath bro,4,good,kannada
bhai kachori bahut tasty,5,good,hindi
bhai sach mein jalebi khana hi nahi,1,bad,hindi
yaar noodles to ekdum bahut tasty,5,good,hindi
puttu iz straight not it,1,bad,english
coffee khake lajawab feel aaya,5,good,hindi
nah burger is straight garbage,1,bad,english
kesari skip karo regret ho reha hai,2,bad,punjabi
bro maggi full enjoy,5,good,telugu
chai regret hai bhai,1,bad,hindi
yaar sandwich to ekdum bahut tasty,5,good,hindi
boiled egg khake perfect tha feel aaya,5,good,hindi
moong dal try madi yummy,5,good,kannada
yo maggi was straight up top tier,5,good,english
bhajji mood off undi bro,2,bad,telugu
bhai seriously poori mood kharab ho gayi,2,bad,punjabi
chana dal try karo kamaal,5,good,punjabi
bh jalebi ekdum perfect h,5,good,punjabi
yaar pongal ekdum zabardast si si,5,good,punjabi
bro sheera perfect aithu,5,good,kannada
seriously appam pani pattadu,2,bad,telugu
bhel puri khana hi nahi hai bhai,1,bad,hindi
full bonda full sakkath bro,4,good,kannada
scrambled egg tini tarvata feel tasty ga undi,4,good,telugu
poori tinda mele dizgusting aithu,2,bad,kannada
yo sheera was straight up legendary,5,good,english
omelette try karo kamaal,4,good,punjabi
bh sach mein bonda regret,1,bad,hindi
samosa tini tarvata feel manchi,4,good,telugu
bhai chai zabardast si hai,5,good,punjabi
nah poori is not it,3,bad,english
rasgulla ulti aa gayi hai bhai,2,bad,hindi
appam mood spoil guru,2,bad,kannada
bajji khake full mast feel aaya,5,good,hindi
bhai sach mein cutlet bewakoof banaya,3,bad,hindi
bruh soup was L food,2,bad,english
seriously bro kachori disgusting aithu,3,bad,kannada
mess alli maggi super aithu,5,good,kannada
scrambled egg tinda mele mood spoil,2,bad,kannada
bro the burger was crazy good,5,good,english
ninna pulao tinte superb ga undi anipinchindi,5,good,telugu
yaar momos ekdum full mast si,4,good,punjabi
mess ka uppit regret,1,bad,hindi
bro maggi full sakkath aithu,5,good,kannada
tried aloo paratha regret l food,1,bad,english
mess ch fried rice ekdum perfect si,5,good,punjabi
sandwich mood off undi bruh,2,bad,telugu
bhai sach mein toast bewakoof banaya,2,bad,hindi
nah poori is zero stars,1,bad,english
mess ka dhokla bohot kharab,1,bad,hindi
mess mein dal fry full mast tha,4,good,hindi
pasta try karo perfect tha hai,4,good,hindi
seriously bro tadka dal kemp agide,1,bad,kannada
full bajji perfect bro,5,good,kannada
mess gulab jamun lowkey trash,1,bad,english
scrambled egg skip maadi kemp agide,1,bad,kannada
mess lo masoor dal full enjoy undi,4,good,telugu
seriously maggi khali waste,1,bad,telugu
bhai sach mein burger paisa barbaad,2,bad,hindi
full medu vada yummy bro,4,good,kannada
chai kemp agide guru,2,bad,kannada
bro chai was ruined my day,1,bad,english
pulao hits different bussin,5,good,english
burger tini tarvata pani pattadu,2,bad,telugu
uppit khake zabardast si feel hoya,4,good,punjabi
pakoda tinda mele ella illa,3,bad,kannada
sandwich khana hi nahi hai bhai,3,bad,hindi
mess da gulab jamun ghatiya si,1,bad,punjabi
bajji khake regret feel,1,bad,hindi
gobi paratha khake bewakoof banaya feel,2,bad,hindi
dhokla skip maadi mood spoil,1,bad,kannada
mess ka pasta paisa barbaad,1,bad,hindi
pakoda tini tarvata feel superb ga undi,5,good,telugu
mess gulab jamun pani pattadu,1,bad,telugu
bhel puri tini tarvata taste leka,1,bad,telugu
bro pongal yummy aithu,5,good,kannada
mess mein sheera full mast tha,5,good,hindi
dhokla kemp agide guru,3,bad,kannada
yo pongal was straight up crazy good,5,good,english
mess kesari eat cheyaleka,3,bad,telugu
omelette skip karo zahar hai,1,bad,punjabi
mess ka pav bhaji bilkul ghatiya,3,bad,hindi
mess ch coffee zabardast si si,5,good,punjabi
appam zahar hai yaar,2,bad,punjabi
bro soup was disgusting af,1,bad,english
dhokla skip maadi ella illa,1,bad,kannada
mess pulao lowkey zero stars,2,bad,english
mess mein toor dal maja aa gaya full tha,5,good,hindi
bhai bonda ekdum perfect hai,5,good,punjabi
bonda skip maadi waste piece,1,bad,kannada
mess dal fry mood off,2,bad,telugu
puttu taste leka undi bro,2,bad,telugu
tried scrambled egg regret not it,1,bad,english
soup skip maadi bekagilla,2,bad,kannada
mess ch medu vada zabardast si si,5,good,punjabi
mess alli pongal full sakkath,4,good,kannada
fried rice zahar hai yaar,3,bad,punjabi
yaar bhajji ekdum zabardast si si,5,good,punjabi
medu vada tinda mele tasty bandu feel aaithu,5,good,kannada
bro toor dal super aithu aithu,4,good,kannada
bhai kesari kamaal ka,4,good,hindi
bhai sach mein bajji bilkul ghatiya,1,bad,hindi
lassi taste leka undi bro,3,bad,telugu
bro the bhel puri was slaps,5,good,english
bhai sach mein dhokla bohot kharab,3,bad,hindi
toast paisa barbaad hai bhai,1,bad,hindi
mess burger lowkey zero stars,2,bad,english
seriously omelette pani pattadu,1,bad,telugu
moong dal try madi full sakkath,5,good,kannada
uppit khake paisa barbaad feel,3,bad,hindi
omelette khake daab aa gayi feel hoya,5,good,punjabi
kesari khake solid taste feel hoya,5,good,punjabi
mess fried rice full bekagilla,1,bad,kannada
tried pakoda regret not it,1,bad,english
ninna tadka dal tinte tasty ga undi anipinchindi,5,good,telugu
mess ka fried rice bohot kharab,1,bad,hindi
bhai aloo paratha zabardast si hai,4,good,punjabi
mess ka moong dal bewakoof banaya,1,bad,hindi
momos try chesthe mast undi,4,good,telugu
moong dal khake regret feel,3,bad,hindi
pakoda tinda mele ella illa,2,bad,kannada
tried kachori regret zero stars,1,bad,english
yo pakoda was straight up no cap good,4,good,english
samosa khake ghatiya si feel,3,bad,punjabi
seriously maggi taste leka,2,bad,telugu
halwa tini tarvata feel baga tasty,5,good,telugu
chai tini tarvata disgusting,2,bad,telugu
pulao khake zahar feel,1,bad,punjabi
mess dhokla baledu bro,1,bad,telugu
bro the kesari was no cap good,5,good,english
ninna manchurian tinte baga tasty anipinchindi,4,good,telugu
mess ka dhokla ulti aa gayi,1,bad,hindi
chana dal try karo lajawab hai,5,good,hindi
manchurian khake bohot kharab feel,1,bad,hindi
sandwich skip maadi bekagilla,3,bad,kannada
vada pav khali waste undi bro,2,bad,telugu
pizza skip maadi taste illa bro,3,bad,kannada
bro scrambled egg was mid,2,bad,english
aloo paratha tini tarvata feel superb ga undi,4,good,telugu
bruh pongal nalla aithu aithu,5,good,kannada
bajji mood off undi bro,2,bad,telugu
mess ka lassi ulti aa gayi,1,bad,hindi
nah bhajji is ruined my day,1,bad,english
soup mat khao khana hi nahi hai,2,bad,hindi
vada pav faltu hai yaar,1,bad,punjabi
bro halwa super aithu aithu,5,good,kannada
gobi paratha skip maadi mood spoil,2,bad,kannada
full pav bhaji maja bandide bro,4,good,kannada
mess poori is legendary,4,good,english
pav bhaji taste leka undi bro,2,bad,telugu
full poori full sakkath bro,5,good,kannada
bhai sach mein pakoda bewakoof banaya,1,bad,hindi
pav bhaji try karo bahut tasty hai,5,good,hindi
bro masoor dal yummy aithu,4,good,kannada
ninna kachori tinte superb ga undi anipinchindi,5,good,telugu
mess bajji disgusting,2,bad,telugu
uppit skip maadi kemp agide,2,bad,kannada
aloo paratha try madi tasty bandu,5,good,kannada
pongal try cheyakandi taste leka,2,bad,telugu
coffee try madi maja bandide,4,good,kannada
pizza tini tarvata feel full enjoy,5,good,telugu
poori try karo kamaal ka hai,5,good,hindi
coffee hits different bussin,5,good,english
mess lo dal fry baga tasty undi,5,good,telugu
manchurian is straight ruined my day,1,bad,english
pav bhaji disgusting aithu guru,3,bad,kannada
sandwich khake paisa barbaad feel,1,bad,hindi
gulab jamun disgusting undi bro,2,bad,telugu
jalebi try karo full mast hai,5,good,hindi
kesari mat khao regret hai,3,bad,hindi
moong dal try chesthe perfect ga undi,4,good,telugu
burger hits different crazy good,4,good,english
vada pav mat khao bilkul ghatiya hai,1,bad,hindi
mess burger lowkey L food,2,bad,english
pav bhaji try cheyakandi eat cheyaleka,2,bad,telugu
mess alli boiled egg tasty bandu,4,good,kannada
mess alli scrambled egg perfect,5,good,kannada
chana dal khake kamaal ka feel aaya,4,good,hindi
dal fry zahar h yaar,3,bad,punjabi
tried aloo paratha and it was top tier,5,good,english
puttu ulti aa gayi hai bhai,1,bad,hindi
poori is straight zero stars,1,bad,english
bhai bhel puri lajawab,4,good,hindi
mess da kesari na khao,1,bad,punjabi
bhai seriously pakoda regret ho reha,2,bad,punjabi
mess alli bhel puri yummy,5,good,kannada
bhajji khake zahar feel,1,bad,punjabi
seriously sandwich pani pattadu,1,bad,telugu
vada pav try madi nalla aithu,4,good,kannada
nah pasta is zero stars,1,bad,english
medu vada tini tarvata feel full enjoy,5,good,telugu
bajji hits different top tier,4,good,english
full dal fry nalla aithu bro,5,good,kannada
sandwich skip maadi taste illa bro,2,bad,kannada
burger mat khao bilkul ghatiya hai,1,bad,hindi
tried medu vada and it was lit,5,good,english
mess chana dal full mood spoil,1,bad,kannada
mess boiled egg lowkey mid,1,bad,english
pizza skip maadi kemp agide,1,bad,kannada
mess alli jalebi super aithu,5,good,kannada
mess ka poori bohot kharab,1,bad,hindi
masoor dal skip maadi waste piece,3,bad,kannada
chai waste piece guru,2,bad,kannada
pongal try cheyakandi mood off,1,bad,telugu
pakoda mat khao khana hi nahi hai,1,bad,hindi
bh pav bhaji ekdum zabardast,5,good,hindi
bhai pav bhaji kamaal hai,5,good,punjabi
appam khake kamaal feel hoya,5,good,punjabi
pakoda dizgusting aithu guru,1,bad,kannada
jalebi tini tarvata mood off,1,bad,telugu
nah coffee is l food,1,bad,english
ninna masoor dal tinte superb ga undi anipinchindi,4,good,telugu
pasta tinda mele super aithu feel aaithu,4,good,kannada
noodles tinda mele kemp agide,2,bad,kannada
samosa tini tarvata disgusting,1,bad,telugu
maggi skip karo zahar hai,2,bad,punjabi
coffee tinda mele perfect feel aaithu,4,good,kannada
seriously bro uppit ella illa,2,bad,kannada
coffee skip maadi waste piece,1,bad,kannada
yaar rasgulla to ekdum full mast,5,good,hindi
bhai puttu daab aa gayi hai,5,good,punjabi
momos try karo maja aa gaya full hai,4,good,hindi
masoor dal try karo zabardast si,5,good,punjabi
sheera tini tarvata disgusting,2,bad,telugu
bro pizza perfect ga undi,4,good,telugu
pakoda try madi maja bandide,5,good,kannada
mess lassi full mood spoil,1,bad,kannada
bhai seriously bonda mood kharab ho gayi,2,bad,punjabi
full noodles super aithu bro,4,good,kannada
pulao tini tarvata feel baga tasty,4,good,telugu
mess mein pav bhaji lajawab tha,4,good,hindi
mess pasta lowkey disgusting af,1,bad,english
ninna bonda tinte tasty ga undi anipinchindi,5,good,telugu
bro sheera was ruined my day,1,bad,english
pav bhaji try madi tasty bandu,5,good,kannada
pulao tinda mele waste piece,2,bad,kannada
uppit try karo kamaal ka hai,5,good,hindi
puttu khana hi nahi hai bhai,3,bad,hindi
yaar appam to ekdum lajawab,5,good,hindi
bh moong dal maja aa gaya full,4,good,hindi
bro the appam was crazy good,5,good,english
bhai seriously scrambled egg regret ho reha,1,bad,punjabi
mess da burger regret ho reha,2,bad,punjabi
seriously bro fried rice kemp agide,2,bad,kannada
pulao try karo lajawab hai,4,good,hindi
toor dal tini tarvata feel superb ga undi,5,good,telugu
mess da manchurian faltu,3,bad,punjabi
bro pulao manchi,5,good,telugu
gobi paratha try karo kamaal,5,good,punjabi
noodles tinda mele super aithu feel aaithu,4,good,kannada
mess chana dal full ella illa,2,bad,kannada
pasta khake regret feel,1,bad,hindi
yaar toast to ekdum perfect tha,5,good,hindi
seriously noodles pani pattadu,2,bad,telugu
seriously omelette baledu bro,2,bad,telugu
pizza khake bilkul ghatiya feel,1,bad,hindi
boiled egg hits different bussin,5,good,english
pasta try karo lajawab h,5,good,hindi
bhai bonda daab aa gayi hai,5,good,punjabi
mess ch bhajji lajawab si si,5,good,punjabi
mess scrambled egg full ella illa,1,bad,kannada
halwa is straight L food,1,bad,english
bhel puri tini tarvata mood off,1,bad,telugu
mess dhokla lowkey l food,1,bad,english
chai try karo lajawab hai,5,good,hindi
bruh dal fry tasty ga undi,4,good,telugu
bro toast was mid,2,bad,english
rasgulla try cheyakandi mood off,3,bad,telugu
chai skip maadi disgusting aithu,1,bad,kannada
bro soup was L food,1,bad,english
bhai scrambled egg kamaal ka,5,good,hindi
mess ka soup regret,1,bad,hindi
dhokla try madi yummy,4,good,kannada
mess alli burger yummy,5,good,kannada
pakoda skip maadi bekagilla,3,bad,kannada
coffee skip karo mood kharab ho gayi hai,2,bad,punjabi
pizza try chesthe full enjoy,5,good,telugu
seriously uppit taste leka,3,bad,telugu
toast skip maadi ella illa,2,bad,kannada
bhai jalebi zabardast si hai,5,good,punjabi
bhai fried rice kamaal ka,4,good,hindi
mess uppit is absolutely fire,5,good,english
bro the uppit was slaps,5,good,english
bhai soup lajawab,5,good,hindi
mess ch cutlet solid taste si,5,good,punjabi
yaar tadka dal to ekdum maja aa gaya full,5,good,hindi
fried rice tini tarvata taste leka,1,bad,telugu
bro the kesari was lit,5,good,english
mess mein rasgulla kamaal ka tha,5,good,hindi
sandwich skip maadi disgusting aithu,2,bad,kannada
mess pav bhaji baledu bro,2,bad,telugu
noodles disgusting undi bro,2,bad,telugu
cutlet tinda mele perfect feel aaithu,5,good,kannada
chana dal skip maadi kemp agide,1,bad,kannada
seriously bruh dhokla bekagilla,2,bad,kannada
bhel puri waste piece guru,2,bad,kannada
tried medu vada regret not it,1,bad,english
mess chai lowkey mid,1,bad,english
tried cutlet and it was absolutely fire,5,good,english
lassi tinda mele super aithu feel aaithu,4,good,kannada
toast khake regret feel,2,bad,hindi
boiled egg hits different no cap good,5,good,english
dhokla try karo full mast hai,4,good,hindi
yaar boiled egg ekdum solid taste si,5,good,punjabi
bro scrambled egg was zero stars,2,bad,english
cutlet tinda mele disgusting aithu,1,bad,kannada
bhai sach mein jalebi paisa barbaad,2,bad,hindi
gulab jamun khake mood kharab ho gayi feel,1,bad,punjabi
bhajji pani pattadu undi bro,1,bad,telugu
puttu try karo lajawab si,5,good,punjabi
bro aloo paratha perfect aithu,5,good,kannada
medu vada hits different no cap good,4,good,english
vada pav skip karo zahar hai,1,bad,punjabi
tried bonda regret ruined my day,1,bad,english
mess ka dal fry bilkul ghatiya,1,bad,hindi
mess mein toast bahut tasty tha,4,good,hindi
mess pulao baledu bro,2,bad,telugu
mess appam full taste illa bro,1,bad,kannada
moong dal mat khao khana hi nahi hai,2,bad,hindi
poori try madi tasty bandu,5,good,kannada
coffee try karo full mast hai,5,good,hindi
halwa hits different absolutely fire,5,good,english
rasgulla try karo ekdum zabardast hai,5,good,hindi
yaar fried rice ekdum ekdum perfect si,4,good,punjabi
rasgulla try chesthe baga tasty,4,good,telugu
dal fry try chesthe manchi,5,good,telugu
bhai sach mein boiled egg ulti aa gayi,1,bad,hindi
chai khake khana hi nahi feel,2,bad,hindi
mess coffee lowkey disgusting af,1,bad,english
seriously lassi disgusting,2,bad,telugu
noodles tini tarvata feel superb ga undi,5,good,telugu
full moong dal full sakkath bro,5,good,kannada
mess da rasgulla faltu,1,bad,punjabi
lassi skip karo mood kharab ho gayi hai,2,bad,punjabi
full aloo paratha nalla aithu bro,5,good,kannada
bro da chana dal was crazy good,5,good,english
bhai bonda maja aa gaya full,4,good,hindi
mess alli chana dal tasty bandu,5,good,kannada
fried rice try cheyakandi baledu bro,1,bad,telugu
mess fried rice full waste piece,2,bad,kannada
coffee khake na khao feel,3,bad,punjabi
mess bonda full mood spoil,1,bad,kannada
mess da pongal taste zero,3,bad,punjabi
seriously bro soup bekagilla,1,bad,kannada
dal fry khake ekdum perfect feel hoya,5,good,punjabi
bhai seriously rasgulla regret ho reha,3,bad,punjabi
maggi khake faltu feel,2,bad,punjabi
mess uppit full kemp agide,1,bad,kannada
kesari tinda mele mood spoil,1,bad,kannada
medu vada try cheyakandi khali waste,2,bad,telugu
ninna pizza tinte mast undi anipinchindi,5,good,telugu
mess alli toast tasty bandu,5,good,kannada
pulao skip maadi waste piece,2,bad,kannada
tried bonda regret zero stars,3,bad,english
mess lo sheera superb ga undi undi,5,good,telugu
nah soup is L food,1,bad,english
halwa tini tarvata taste leka,1,bad,telugu
halwa baledu bruh undi bruh,1,bad,telugu
jalebi try madi perfect,5,good,kannada
lassi is straight l food,2,bad,english
soup khake kamaal ka feel aaya,4,good,hindi
full chai perfect bro,5,good,kannada
bonda skip maadi ella illa,2,bad,kannada
dal fry skip karo taste zero hai,3,bad,punjabi
bro pongal tasty bandu aithu,5,good,kannada
seriously chai khali waste,1,bad,telugu
tried aloo paratha and it was bussin,5,good,english
yo toor dal was straight up crazy good,5,good,english
nah boiled egg is disgusting af,1,bad,english
omelette khake regret feel,3,bad,hindi
bro tadka dal full sakkath aithu,5,good,kannada
seriously bro jalebi bekagilla,1,bad,kannada
tried boiled egg and it was no cap good,5,good,english
kachori try chesthe baga tasty,4,good,telugu
mess ka chai regret,1,bad,hindi
bro burger perfect ga undi,5,good,telugu
mess chana dal is lit,4,good,english
bruh scrambled egg baga tasty,5,good,telugu
mess alli pongal perfect,5,good,kannada
sheera khake bilkul ghatiya feel,2,bad,hindi
aloo paratha tinda mele yummy feel aaithu,5,good,kannada
masoor dal tinda mele ella illa,2,bad,kannada
mess alli vada pav super aithu,5,good,kannada
bhajji khake full mast feel aaya,5,good,hindi
mess sheera lowkey ruined my day,1,bad,english
toast tini tarvata eat cheyaleka,1,bad,telugu
seriously toor dal eat cheyaleka,1,bad,telugu
chai is straight not it,1,bad,english
full tadka dal super aithu bro,5,good,kannada
tried samosa regret ruined my day,1,bad,english
uppit tinda mele super aithu feel aaithu,4,good,kannada
bhai aloo paratha full mast hai,4,good,punjabi
mess alli jalebi nalla aithu,4,good,kannada
mess kachori pani pattadu,2,bad,telugu
mess mein dal fry lajawab tha,4,good,hindi
tadka dal khali waste undi bro,2,bad,telugu
momos pani pattadu undi bro,2,bad,telugu
burger mat khao khana hi nahi hai,3,bad,hindi
sandwich tini tarvata feel manchi,5,good,telugu
seriously bro gobi paratha kemp agide,1,bad,kannada
bro sandwich superb ga undi,4,good,telugu
cutlet khake perfect tha feel aaya,5,good,hindi
boiled egg bekagilla guru,1,bad,kannada
bhai dhokla lajawab si hai,5,good,punjabi
mess mein kesari ekdum zabardast tha,5,good,hindi
appam try karo maja aa gaya full hai,5,good,hindi
sheera try karo zabardast si,5,good,punjabi
bro puttu was not it,1,bad,english
tried soup and it was bussin,5,good,english
bhai halwa perfect tha,4,good,hindi
mess lo kachori tasty ga undi undi,4,good,telugu
bro pasta full sakkath aithu,5,good,kannada
mess ch toor dal lajawab si si,5,good,punjabi
mess mein fried rice maja aa gaya full tha,4,good,hindi
mess noodles lowkey l food,2,bad,english
seriously poori baledu bro,1,bad,telugu
pakoda tinda mele tasty bandu feel aaithu,5,good,kannada
mess pulao full mood spoil,3,bad,kannada
sheera khake ekdum zabardast feel aaya,4,good,hindi
mess manchurian baledu bro,1,bad,telugu
scrambled egg tinda mele maja bandide feel aaithu,4,good,kannada
nah appam is ruined my day,1,bad,english
bro jalebi tasty ga undi,4,good,telugu
bhel puri regret ho reha hai yaar,1,bad,punjabi
sandwich try chesthe tasty ga undi,5,good,telugu
tried noodles regret mid,1,bad,english
bro da vada pav was top tier,5,good,english
rasgulla tini tarvata mood off,1,bad,telugu
masoor dal try karo maja aa gaya full hai,4,good,hindi
mess lo scrambled egg manchi undi,5,good,telugu
ninna masoor dal tinte tasty ga undi anipinchindi,5,good,telugu
vada pav try madi perfect,5,good,kannada
bruh puttu tasty ga undi,5,good,telugu
uppit khake faltu feel,1,bad,punjabi
maggi try madi perfect,5,good,kannada
bro the bhajji was bussin,4,good,english
maggi tini tarvata feel tasty ga undi,5,good,telugu
bhai boiled egg perfect tha,4,good,hindi
fried rice tini tarvata taste leka,1,bad,telugu
bonda try chesthe baga tasty,5,good,telugu
kachori try chesthe perfect ga undi,4,good,telugu
mess alli samosa perfect,5,good,kannada
uppit try chesthe perfect ga undi,5,good,telugu
bonda khake khana hi nahi feel,1,bad,hindi
mess toor dal is fire,5,good,english
yaar momos to ekdum bahut tasty,5,good,hindi
moong dal waste piece guru,2,bad,kannada
nah pakoda is trash,1,bad,english
moong dal try madi perfect,5,good,kannada
toor dal khake full mast feel aaya,5,good,hindi
momos is straight mid,1,bad,english
