review,rating,sentiment,language
full toast full sakkath bro,5,good,kannada
mess alli soup tasty bandu,5,good,kannada
tried halwa regret disgusting af,2,bad,english
vada pav tinda mele nalla aithu feel aaithu,5,good,kannada
sheera tini tarvata feel perfect ga undi,5,good,telugu
pongal try chesthe perfect ga undi,5,good,telugu
bro the pulao was slaps,4,good,english
bro halwa was dizgusting af,1,bad,english
pakoda tini tarvata baledu bro,2,bad,telugu
bhai seriously sandwich mood kharab ho gayi,2,bad,punjabi
bh sach mein gulab jamun bewakoof banaya,1,bad,hindi
mess tadka dal full ella illa,1,bad,kannada
bro bonda tasty ga undi,4,good,telugu
toast mood off undi bruh,1,bad,telugu
burger ghatiya si hai yaar,1,bad,punjabi
bhai sach mein scrambled egg paisa barbaad,1,bad,hindi
moong dal khake ghatiya si feel,1,bad,punjabi
seriously appam taste leka,1,bad,telugu
jalebi eat cheyaleka undi bro,2,bad,telugu
moong dal tinda mele super aithu feel aaithu,5,good,kannada
mess ch jalebi lajawab si si,4,good,punjabi
bhai cutlet zabardast si hai,5,good,punjabi
mess rasgulla iz no cap good,5,good,english
omelette khake ekdum zabardast feel aaya,4,good,hindi
mess lo lassi mast undi undi,5,good,telugu
puttu mat khao bewakoof banaya hai,2,bad,hindi
chai tini tarvata feel full enjoy,4,good,telugu
mess alli boiled egg tasty bandu,5,good,kannada
pakoda ghatiya si hai yaar,2,bad,punjabi
cutlet khake lajawab si feel hoya,5,good,punjabi
full momos nalla aithu bro,4,good,kannada
nah fried rice is mid,1,bad,english
boiled egg mat khao bewakoof banaya hai,1,bad,hindi
momos na khao hai yaar,1,bad,punjabi
seriously bro medu vada waste piece,1,bad,kannada
yaar tadka dal ekdum zabardast si si,5,good,punjabi
mess alli bhel puri maja bandide,4,good,kannada
puttu tinda mele maja bandide feel aaithu,5,good,kannada
kesari tini tarvata baledu bro,1,bad,telugu
mess samosa taste leka,2,bad,telugu
medu vada baledu bro undi bro,2,bad,telugu
yaar rasgulla to ekdum bahut tasty,5,good,hindi
bhai dal fry zabardast si hai,5,good,punjabi
maggi tini tarvata feel perfect ga undi,5,good,telugu
mess momos lowkey ruined my day,2,bad,english
toast try chesthe tasty ga undi,5,good,telugu
bhai seriously moong dal zahar,1,bad,punjabi
bro puttu was L food,1,bad,english
aloo paratha khali waste undi bro,2,bad,telugu
full moong dal full sakkath bro,5,good,kannada
bruh samosa manchi,5,good,telugu
bro bhel puri was straight garbage,2,bad,english
pizza tinda mele dizgusting aithu,2,bad,kannada
coffee try cheyakandi eat cheyaleka,3,bad,telugu
bruh ch was straight garbage,1,bad,english
mess alli pongal perfect,5,good,kannada
scrambled egg try karo solid taste,5,good,punjabi
seriously bro toor dal kemp agide,2,bad,kannada
lassi tinda mele taste illa bro,1,bad,kannada
scrambled egg khake khana hi nahi feel,1,bad,hindi
tried manchurian regret straight garbage,1,bad,english
bro the rasgulla was no cap good,5,good,english
sheera tini tarvata taste leka,2,bad,telugu
tadka dal waste piece guru,2,bad,kannada
mess lo bhel puri mast undi undi,5,good,telugu
seriously bruh pasta taste illa bruh,1,bad,kannada
bhel puri tini tarvata feel superb ga undi,5,good,telugu
lassi taste leka undi bro,2,bad,telugu
pakoda skip karo zahar hai,3,bad,punjabi
mess kesari lowkey disgusting af,2,bad,english
toor dal hits different crazy good,5,good,english
mess chana dal is absolutely fire,5,good,english
mess alli coffee full sakkath,5,good,kannada
mess lo coffee tasty ga undi undi,4,good,telugu
noodles bekagilla guru,2,bad,kannada
bro the soup was lit,4,good,english
pulao is straight ruined my day,2,bad,english
dal fry skip maadi ella illa,2,bad,kannada
yaar kachori ekdum full mast si,5,good,punjabi
bhai sach mein manchurian bilkul ghatiya,2,bad,hindi
mess lo pulao superb ga undi undi,5,good,telugu
seriously moong dal baledu bro,3,bad,telugu
mess alli aloo paratha perfect,5,good,kannada
poori paisa barbaad hai bhai,2,bad,hindi
pasta khake perfect tha feel aaya,5,good,hindi
seriously bro lassi bekagilla,2,bad,kannada
mess rasgulla lowkey trash,3,bad,english
tried halwa and it was slaps,5,good,english
bro bonda tasty ga undi,4,good,telugu
bhel puri khake ulti aa gayi feel,3,bad,hindi
mess pakoda lowkey disgusting af,2,bad,english
nah gobi paratha is trash,1,bad,english
mess lo pasta mast undi undi,5,good,telugu
aloo paratha faltu hai yaar,1,bad,punjabi
bonda khake daab aa gayi feel hoya,5,good,punjabi
mess soup disgusting,1,bad,telugu
mess bajji pani pattadu,1,bad,telugu
yo medu vada was straight up legendary,5,good,english
bonda hits different bussin,5,good,english
seriously bro scrambled egg mood spoil,1,bad,kannada
mess coffee is absolutely fire,4,good,english
gulab jamun khake bewakoof banaya feel,1,bad,hindi
maggi kemp agide guru,2,bad,kannada
mess lo omelette mast undi undi,5,good,telugu
samosa khake daab aa gayi feel hoya,4,good,punjabi
toor dal skip maadi taste illa bro,2,bad,kannada
tried toor dal and it was legendary,5,good,english
puttu tinda mele waste piece,2,bad,kannada
mess alli pav bhaji nalla aithu,5,good,kannada
mess manchurian full kemp agide,2,bad,kannada
halwa waste piece guru,1,bad,kannada
tried halwa and it was crazy good,4,good,english
mess maggi taste leka,2,bad,telugu
mess mein momos ekdum zabardast tha,5,good,hindi
pongal try karo daab aa gayi,4,good,punjabi
nah bonda is not it,1,bad,english
soup na khao hai yaar,2,bad,punjabi
toor dal khake bohot kharab feel,1,bad,hindi
bhel puri bewakoof banaya hai bhai,1,bad,hindi
medu vada try karo zabardast si,5,good,punjabi
medu vada khake bohot kharab feel,1,bad,hindi
bhai seriously omelette mood kharab ho gayi,2,bad,punjabi
mess samosa iz lit,5,good,english
chana dal taste zero hai yaar,1,bad,punjabi
mess uppit full bekagilla,1,bad,kannada
sheera tini tarvata mood off,1,bad,telugu
puttu mood off undi bro,2,bad,telugu
bhai toor dal maja aa gaya full,5,good,hindi
tried sheera regret mid,1,bad,english
ninna toor dal tinte baga tasty anipinchindi,4,good,telugu
full gobi paratha tasty bandu bro,4,good,kannada
dhokla khake daab aa gayi feel hoya,5,good,punjabi
jalebi khake ekdum perfect feel hoya,5,good,punjabi
mess alli tadka dal tasty bandu,5,good,kannada
bro dhokla tasty ga undi,4,good,telugu
bro boiled egg perfect ga undi,4,good,telugu
tried manchurian and it was slaps,4,good,english
bruh chana dal was straight garbage,1,bad,english
mess ch halwa ekdum perfect si,4,good,punjabi
mess mein vada pav full mast tha,5,good,hindi
pulao try chesthe manchi,5,good,telugu
yo pakoda was straight up crazy good,5,good,english
mess alli vada pav tasty bandu,4,good,kannada
aloo paratha try chesthe mast undi,5,good,telugu
chana dal tini tarvata feel mast undi,5,good,telugu
sandwich try karo kamaal,5,good,punjabi
mess pulao baledu bro,2,bad,telugu
yo bajji was straight up fire,4,good,english
bro chai was straight garbage,1,bad,english
halwa try karo solid taste,5,good,punjabi
tried bhajji and it was no cap good,4,good,english
scrambled egg try karo zabardast si,5,good,punjabi
seriously kesari mood off,2,bad,telugu
mess ch chana dal daab aa gayi si,4,good,punjabi
pakoda try madi perfect,4,good,kannada
samosa tini tarvata taste leka,3,bad,telugu
sheera khake regret ho reha feel,1,bad,punjabi
mess manchurian mood off,2,bad,telugu
omelette na khao hai yaar,3,bad,punjabi
mess gobi paratha pani pattadu,2,bad,telugu
mess lo dal fry manchi undi,5,good,telugu
bhajji try karo full mast hai,5,good,hindi
samosa skip maadi bekagilla,1,bad,kannada
bhai pav bhaji perfect tha,5,good,hindi
mess lo lassi full enjoy undi,4,good,telugu
mess da fried rice mood kharab ho gayi,1,bad,punjabi
boiled egg hits different crazy good,5,good,english
mess poori full mood spoil,2,bad,kannada
bro cutlet manchi,5,good,telugu
bro noodles manchi,5,good,telugu
soup taste zero hai yaar,2,bad,punjabi
bhai lassi daab aa gayi hai,5,good,punjabi
yo aloo paratha was straight up absolutely fire,5,good,english
vada pav khake ekdum perfect feel hoya,5,good,punjabi
pizza tinda mele bekagilla,3,bad,kannada
bro vada pav mast undi,5,good,telugu
mess mein bajji full mast tha,4,good,hindi
scrambled egg try cheyakandi taste leka,1,bad,telugu
pizza khake taste zero feel,1,bad,punjabi
mess alli manchurian nalla aithu,5,good,kannada
gobi paratha is straight L food,1,bad,english
momos try madi maja bandide,5,good,kannada
moong dal faltu hai yaar,1,bad,punjabi
ninna jalebi tinte tasty ga undi anipinchindi,4,good,telugu
dal fry mat khao bilkul ghatiya hai,1,bad,hindi
mess lassi lowkey zero stars,2,bad,english
soup try cheyakandi khali waste,2,bad,telugu
momos disgusting aithu guru,2,bad,kannada
bro momos full sakkath aithu,5,good,kannada
bhai seriously pulao faltu,1,bad,punjabi
nah gobi paratha is zero stars,1,bad,english
poori try cheyakandi disgusting,1,bad,telugu
uppit bekagilla guru,1,bad,kannada
tried omelette regret not it,1,bad,english
mess manchurian lowkey zero stars,1,bad,english
yaar jalebi to ekdum full mast,5,good,hindi
bhai sach mein omelette regret,3,bad,hindi
bhai dhokla maja aa gaya full,5,good,hindi
mess alli burger maja bandide,5,good,kannada
full pulao tasty bandu bro,5,good,kannada
ninna dal fry tinte superb ga undi anipinchindi,5,good,telugu
tried bonda and it was top tier,5,good,english
omelette try cheyakandi pani pattadu,1,bad,telugu
jalebi khake ekdum perfect feel hoya,4,good,punjabi
scrambled egg khake ghatiya si feel,3,bad,punjabi
bro kachori mast undi,5,good,telugu
yo halwa was straight up absolutely fire,4,good,english
gobi paratha ella illa guru,1,bad,kannada
nah bhel puri is trash,3,bad,english
mess uppit full waste piece,2,bad,kannada
gobi paratha paisa barbaad hai bhai,1,bad,hindi
bhel puri hits different top tier,5,good,english
mess alli fried rice maja bandide,4,good,kannada
seriously bhel puri khali waste,2,bad,telugu
mess ka cutlet ulti aa gayi,1,bad,hindi
vada pav try cheyakandi mood off,1,bad,telugu
mess alli omelette full sakkath,5,good,kannada
full dal fry perfect bro,5,good,kannada
bro kesari mast undi,5,good,telugu
bhai medu vada full mast,5,good,hindi
dal fry skip karo ghatiya si hai,2,bad,punjabi
manchurian tini tarvata pani pattadu,3,bad,telugu
mess soup khali waste,2,bad,telugu
puttu try karo daab aa gayi,4,good,punjabi
kesari hits different bussin,5,good,english
bhai seriously maggi taste zero,2,bad,punjabi
mess ch pakoda daab aa gayi si,5,good,punjabi
nah bonda is zero stars,1,bad,english
gobi paratha khake bahut tasty feel aaya,5,good,hindi
bro gobi paratha tasty ga undi,5,good,telugu
seriously gulab jamun pani pattadu,1,bad,telugu
omelette try karo bahut tasty hai,5,good,hindi
bro chana dal full enjoy,4,good,telugu
bro tadka dal was not it,1,bad,english
bro puttu tasty bandu aithu,5,good,kannada
mess lassi lowkey ruined my day,1,bad,english
aloo paratha tinda mele waste piece,2,bad,kannada
uppit hits different slaps,5,good,english
mess puttu baledu bro,1,bad,telugu
medu vada try chesthe mast undi,5,good,telugu
bro bhel puri perfect ga undi,5,good,telugu
mess alli poori full sakkath,5,good,kannada
jalebi tini tarvata feel baga tasty,5,good,telugu
dhokla skip karo faltu h,2,bad,punjabi
lassi hits different lit,5,good,english
seriously bro puttu taste illa bro,1,bad,kannada
bonda hits different no cap good,5,good,english
bruh pulao was mid,1,bad,english
mess uppit pani pattadu,3,bad,telugu
bhai seriously masoor dal taste zero,1,bad,punjabi
maggi is straight trash,3,bad,english
burger skip karo ghatiya si hai,1,bad,punjabi
bro dhokla was L food,1,bad,english
seriously bro soup mood spoil,2,bad,kannada
mess bhel puri lowkey ruined my day,1,bad,english
bro the masoor dal was top tier,5,good,english
bhai chana dal bahut tasty,5,good,hindi
samosa is straight trash,1,bad,english
mess burger is fire,5,good,english
aloo paratha skip karo na khao hai,1,bad,punjabi
mess mein poori ekdum zabardast tha,4,good,hindi
mess alli halwa nalla aithu,5,good,kannada
yo aloo paratha was straight up slaps,5,good,english
mess pulao full mood spoil,1,bad,kannada
maggi bohot kharab hai bhai,1,bad,hindi
dal fry try cheyakandi eat cheyaleka,1,bad,telugu
bhai seriously aloo paratha taste zero,1,bad,punjabi
noodles tinda mele mood spoil,1,bad,kannada
mess ch omelette zabardast si si,5,good,punjabi
appam try karo zabardast si,4,good,punjabi
samosa hits different no cap good,5,good,english
mess mein toast bahut tasty tha,4,good,hindi
bro toast tasty bandu aithu,5,good,kannada
mess alli lassi nalla aithu,5,good,kannada
bhai moong dal solid taste hai,5,good,punjabi
mess ka toor dal khana hi nahi,1,bad,hindi
mess puttu lowkey disgusting af,2,bad,english
bro bhel puri was not it,1,bad,english
medu vada khake zahar feel,1,bad,punjabi
bhajji tinda mele waste piece,3,bad,kannada
mess bhel puri iz crazy good,4,good,english
mess lo soup tasty ga undi undi,5,good,telugu
kesari khake kamaal ka feel aaya,5,good,hindi
bhai halwa ekdum zabardast,4,good,hindi
toast tini tarvata baledu bro,2,bad,telugu
uppit tini tarvata pani pattadu,2,bad,telugu
seriously bro medu vada bekagilla,1,bad,kannada
halwa eat cheyaleka undi bro,2,bad,telugu
mess lo pongal tasty ga undi undi,5,good,telugu
full medu vada maja bandide bro,5,good,kannada
bro the chai was lit,5,good,english
yo boiled egg was straight up no cap good,5,good,english
masoor dal khake full mast feel aaya,5,good,hindi
full sandwich tasty bandu bro,4,good,kannada
mess kachori full taste illa bro,1,bad,kannada
mess pongal taste leka,1,bad,telugu
moong dal skip karo taste zero hai,3,bad,punjabi
mess manchurian is lit,5,good,english
bhai sach mein lassi regret,3,bad,hindi
halwa tinda mele kemp agide,1,bad,kannada
tried bonda regret not it,1,bad,english
manchurian try chesthe superb ga undi,5,good,telugu
mess noodles full mood spoil,1,bad,kannada
ninna bhajji tinte superb ga undi anipinchindi,5,good,telugu
yaar soup ekdum lajawab si si,5,good,punjabi
poori skip maadi ella illa,1,bad,kannada
bhai seriously rasgulla na khao,2,bad,punjabi
seriously bro pav bhaji disgusting aithu,1,bad,kannada
full lassi nalla aithu bro,4,good,kannada
bhai sach mein aloo paratha bilkul ghatiya,3,bad,hindi
mess da halwa regret ho reha,3,bad,punjabi
bruh noodles tasty ga undi,5,good,telugu
poori is straight zero stars,1,bad,english
mess ch gobi paratha zabardast si si,4,good,punjabi
mess mein noodles ekdum zabardast tha,5,good,hindi
mess ka tadka dal bewakoof banaya,2,bad,hindi
fried rice try chesthe manchi,4,good,telugu
ninna sheera tinte baga tasty anipinchindi,4,good,telugu
mess ch bhel puri solid taste si,5,good,punjabi
seriously burger khali waste,1,bad,telugu
sandwich mat khao regret h,1,bad,hindi
bro the bajji was no cap good,5,good,english
bajji try karo full mast,5,good,punjabi
mess bhel puri khali waste,2,bad,telugu
medu vada mat khao paisa barbaad hai,2,bad,hindi
bro the vada pav was fire,4,good,english
yo bhel puri was straight up top tier,4,good,english
mess appam full mood spoil,2,bad,kannada
burger tinda mele bekagilla,2,bad,kannada
gobi paratha tinda mele maja bandide feel aaithu,5,good,kannada
mess mein chai ekdum zabardast tha,5,good,hindi
mess toor dal dizgusting,2,bad,telugu
mess alli appam full sakkath,4,good,kannada
tried sandwich regret mid,2,bad,english
tadka dal skip karo ghatiya si hai,1,bad,punjabi
halwa khake regret feel,2,bad,hindi
sheera is straight straight garbage,3,bad,english
tried sheera and it was crazy good,5,good,english
bhai gobi paratha ekdum perfect hai,5,good,punjabi
tried toast regret ruined my day,1,bad,english
bro the gulab jamun was top tier,4,good,english
halwa tinda mele disgusting aithu,1,bad,kannada
moong dal mood spoil guru,1,bad,kannada
gulab jamun try karo ekdum perfect,5,good,punjabi
mess ka pizza bewakoof banaya,1,bad,hindi
mess pizza disgusting,3,bad,telugu
bonda khake perfect tha feel aaya,5,good,hindi
rasgulla mood off undi bro,1,bad,telugu
dal fry faltu hai yaar,1,bad,punjabi
scrambled egg tini tarvata khali waste,2,bad,telugu
bh sach mein fried rice regret,1,bad,hindi
seriously poori mood off,1,bad,telugu
seriously poori eat cheyaleka,1,bad,telugu
mess ch bonda lajawab si si,5,good,punjabi
bhai seriously chana dal na khao,2,bad,punjabi
mess lo kachori full enjoy undi,4,good,telugu
aloo paratha hits different legendary,5,good,english
bhel puri disgusting undi bro,1,bad,telugu
mess ka coffee bewakoof banaya,2,bad,hindi
coffee skip maadi mood spoil,2,bad,kannada
chana dal mat khao ulti aa gayi hai,2,bad,hindi
tried kesari regret straight garbage,1,bad,english
bro gulab jamun perfect aithu,5,good,kannada
mess ch momos daab aa gayi si,4,good,punjabi
mess burger disgusting,1,bad,telugu
kesari tinda mele maja bandide feel aaithu,5,good,kannada
dal fry tini tarvata disgusting,3,bad,telugu
fried rice khake ghatiya si feel,1,bad,punjabi
mess mein vada pav bahut tasty tha,5,good,hindi
yaar sheera ekdum kamaal si,4,good,punjabi
scrambled egg tini tarvata feel mast undi,5,good,telugu
gobi paratha khake perfect tha feel aaya,4,good,hindi
yaar momos to ekdum perfect tha,5,good,hindi
mess mein lassi perfect tha tha,5,good,hindi
mess gulab jamun is crazy good,4,good,english
tried chana dal regret trash,2,bad,english
mess bhel puri is slaps,5,good,english
bhai seriously lassi ghatiya si,2,bad,punjabi
ninna toor dal tinte superb ga undi anipinchindi,4,good,telugu
nah dal fry is disgusting af,1,bad,english
yo pav bhaji was straight up slaps,5,good,english
nah fried rice is mid,1,bad,english
seriously bro maggi bekagilla,1,bad,kannada
pizza tini tarvata mood off,2,bad,telugu
mess lo pizza superb ga undi undi,5,good,telugu
nah bonda is trash,1,bad,english
full coffee yummy bro,5,good,kannada
seriously appam baledu bro,2,bad,telugu
full maggi super aithu bro,5,good,kannada
yaar dhokla ekdum daab aa gayi si,4,good,punjabi
lassi bewakoof banaya hai bhai,2,bad,hindi
mess mein dhokla ekdum zabardast tha,5,good,hindi
pav bhaji try karo daab aa gayi,4,good,punjabi
sheera khake full mast feel hoya,5,good,punjabi
mess bonda full ella illa,2,bad,kannada
pulao khake solid taste feel hoya,5,good,punjabi
samosa is straight trash,1,bad,english
full coffee nalla aithu bro,5,good,kannada
medu vada khake bewakoof banaya feel,2,bad,hindi
gobi paratha try cheyakandi disgusting,3,bad,telugu
bajji try karo kamaal,4,good,punjabi
mess omelette eat cheyaleka,2,bad,telugu
vada pav tinda mele perfect feel aaithu,5,good,kannada
bhai sach mein manchurian ulti aa gayi,1,bad,hindi
nah momos is ruined my day,3,bad,english
bro the toast was legendary,5,good,english
masoor dal khake bohot kharab feel,1,bad,hindi
samosa taste leka undi bro,1,bad,telugu
appam pani pattadu undi bro,2,bad,telugu
full burger maja bandide bruh,4,good,kannada
bhai seriously pav bhaji regret ho reha,1,bad,punjabi
fried rice baledu bro undi bro,1,bad,telugu
yaar gulab jamun to ekdum full mast,4,good,hindi
pizza khake kamaal feel hoya,5,good,punjabi
bajji bohot kharab h bh,2,bad,hindi
soup try cheyakandi disgusting,3,bad,telugu
seriously fried rice khali waste,1,bad,telugu
mess lo dal fry superb ga undi undi,5,good,telugu
gobi paratha try madi tasty bandu,5,good,kannada
dhokla skip maadi ella illa,1,bad,kannada
ninna manchurian tinte manchi anipinchindi,4,good,telugu
tried chai and it was top tier,4,good,english
pulao khake perfect tha feel aaya,5,good,hindi
mess ka soup paisa barbaad,2,bad,hindi
mess mein manchurian perfect tha tha,5,good,hindi
bonda hits different fire,5,good,english
gulab jamun try karo lajawab si,4,good,punjabi
pasta khake mood kharab ho gayi feel,2,bad,punjabi
bhai bajji maja aa gaya full,4,good,hindi
mess lo manchurian manchi undi,5,good,telugu
mess ch rasgulla solid taste si,5,good,punjabi
bh poori zabardast si h,4,good,punjabi
toor dal skip maadi ella illa,1,bad,kannada
medu vada try chesthe baga tasty,5,good,telugu
pulao tini tarvata feel tasty ga undi,5,good,telugu
bajji hits different top tier,5,good,english
maggi hits different absolutely fire,4,good,english
mess noodles is crazy good,4,good,english
mess burger is crazy good,5,good,english
gulab jamun mat khao regret hai,2,bad,hindi
bhai sach mein halwa ulti aa gayi,1,bad,hindi
cutlet tini tarvata feel perfect ga undi,4,good,telugu
kesari khake khana hi nahi feel,1,bad,hindi
mess ch pongal ekdum perfect si,4,good,punjabi
coffee try cheyakandi disgusting,1,bad,telugu
cutlet try karo ekdum perfect,5,good,punjabi
toor dal tini tarvata disgusting,2,bad,telugu
bro gobi paratha maja bandide aithu,5,good,kannada
toast khake full mast feel aaya,5,good,hindi
mess ka lassi bohot kharab,2,bad,hindi
moong dal try karo solid taste,4,good,punjabi
mess burger is bussin,5,good,english
mess pongal is absolutely fire,5,good,english
nah tadka dal is L food,2,bad,english
mess mein scrambled egg maja aa gaya full tha,5,good,hindi
pasta tinda mele super aithu feel aaithu,5,good,kannada
coffee khana hi nahi hai bhai,1,bad,hindi
tried maggi regret mid,2,bad,english
seriously bro bajji waste piece,1,bad,kannada
fried rice try cheyakandi pani pattadu,1,bad,telugu
mess bajji disgusting,2,bad,telugu
tried momos and it was bussin,4,good,english
momos tini tarvata disgusting,2,bad,telugu
bhajji tinda mele maja bandide feel aaithu,5,good,kannada
dhokla khake faltu feel,1,bad,punjabi
yaar puttu to ekdum maja aa gaya full,4,good,hindi
bro the sandwich was absolutely fire,5,good,english
mess ch pakoda daab aa gayi si,5,good,punjabi
mess mein masoor dal ekdum zabardast tha,5,good,hindi
nah appam is trash,1,bad,english
appam tini tarvata disgusting,1,bad,telugu
bro halwa was disgusting af,1,bad,english
yaar boiled egg to ekdum bahut tasty,5,good,hindi
mess jalebi eat cheyaleka,2,bad,telugu
bro pizza super aithu aithu,4,good,kannada
chana dal tini tarvata feel full enjoy,4,good,telugu
moong dal skip maadi waste piece,1,bad,kannada
chai tini tarvata feel manchi,5,good,telugu
sandwich skip karo ghatiya si hai,2,bad,punjabi
toast tini tarvata feel tasty ga undi,4,good,telugu
medu vada khake ulti aa gayi feel,1,bad,hindi
cutlet mood kharab ho gayi hai yaar,2,bad,punjabi
tried boiled egg and it was bussin,5,good,english
bajji taste leka undi bro,1,bad,telugu
puttu try madi tasty bandu,5,good,kannada
bajji skip karo ghatiya si hai,2,bad,punjabi
bro pakoda baga tasty,4,good,telugu
omelette skip karo na khao hai,1,bad,punjabi
masoor dal tini tarvata eat cheyaleka,1,bad,telugu
maggi try cheyakandi taste leka,2,bad,telugu
vada pav khali waste undi bro,2,bad,telugu
bhel puri khake lajawab si feel hoya,4,good,punjabi
coffee try chesthe mast undi,4,good,telugu
mess mein bajji maja aa gaya full tha,5,good,hindi
mess toast lowkey zero stars,2,bad,english
bajji try karo zabardast si,5,good,punjabi
yaar vada pav ekdum zabardast si si,5,good,punjabi
bonda try chesthe manchi,5,good,telugu
mess ch poori daab aa gayi si,5,good,punjabi
manchurian skip maadi waste piece,2,bad,kannada
kesari khake bohot kharab feel,3,bad,hindi
momos try cheyakandi eat cheyaleka,1,bad,telugu
coffee hits different lit,4,good,english
manchurian tini tarvata feel superb ga undi,4,good,telugu
kesari tinda mele taste illa bro,1,bad,kannada
mess ka kachori paisa barbaad,2,bad,hindi
bro sandwich maja bandide aithu,4,good,kannada
bajji mood kharab ho gayi hai yaar,2,bad,punjabi
bhai seriously bajji na khao,2,bad,punjabi
ninna toor dal tinte perfect ga undi anipinchindi,5,good,telugu
pakoda eat cheyaleka undi bruh,2,bad,telugu
yaar medu vada ekdum solid taste si,4,good,punjabi
full bhel puri perfect bro,5,good,kannada
boiled egg skip karo regret ho reha hai,1,bad,punjabi
puttu khake bewakoof banaya feel,1,bad,hindi
pulao tini tarvata eat cheyaleka,1,bad,telugu
mess dhokla baledu bro,1,bad,telugu
jalebi khake kamaal ka feel aaya,4,good,hindi
sandwich khake mood kharab ho gayi feel,1,bad,punjabi
mess alli chana dal super aithu,5,good,kannada
full omelette super aithu bro,5,good,kannada
bhai seriously sandwich faltu,2,bad,punjabi
bhai sach mein noodles ulti aa gayi,1,bad,hindi
scrambled egg khake khana hi nahi feel,1,bad,hindi
burger try karo solid taste,4,good,punjabi
scrambled egg khake ghatiya si feel,2,bad,punjabi
mess alli samosa maja bandide,4,good,kannada
full toast perfect bro,4,good,kannada
mess dhokla is lit,5,good,english
toor dal khake taste zero feel,1,bad,punjabi
pav bhaji tini tarvata baledu bro,1,bad,telugu
manchurian khake ekdum perfect feel hoya,4,good,punjabi
chai hits different bussin,4,good,english
bro bonda was straight garbage,2,bad,english
seriously moong dal mood off,1,bad,telugu
seriously bro jalebi bekagilla,1,bad,kannada
