review,rating,sentiment
The vada ws att.,5,good
I had a tumba chennagide vibe.,5,good
raita bahut keka hai.,4,good
breakfast is worst.,3,bad
dal makhani was absolutely khatam.,1,bad
khichdi chennagilla.,3,bad
really gazab dinner.,4,good
pulao ws absolutely tasty.,4,good
I had a outstanding fish curry.,4,good
experience tumba fuddu.,1,bad
lunch bekaar lagya.,1,bad
chicken poor.,2,bad
butter chicken jama thu hai.,1,bad
eeroju dal khatam.,2,bad
"loved the mushroom masala, it was sira.",4,good
aaj ka khichdi thu tha.,1,bad
baingan bharta was mast agide bhai.,4,good
raita matram awesome.,5,good
oota is full chii.,1,bad
baingan bharta is full daridram.,2,bad
chole chala ek number.,5,good
"Hated the chicken, it was kettadagide.",1,bad
The soup tasted bekaar.,1,bad
Ivattu salad waste.,2,bad
khichdi terrible lagya.,2,bad
such a bad dessert.,1,bad
such a bekaar bhatura.,2,bad
really daridram salad.,1,bad
vibe daridram.,3,bad
baingan bharta pura ruchi agide hai.,4,good
bhojanam maada.,1,bad
Really bekar chicken.,2,bad
meal was absolutely khatam.,2,bad
Ivattu pickle vadiya.,4,good
upma is full jhakaas.,5,good
the khana tasted bland.,2,bad
biryani mast agide hai.,5,good
curd badiya taste.,5,good
dal iz full bombat.,5,good
aaj khana chala baledu si.,1,bad
soup bahut asalu baledu hai.,2,bad
oota asalu waste.,1,bad
mushroom masala bahut delicious hai.,4,good
oota super hai.,5,good
pickle mazza aa gaya hai.,5,good
khichdi is full waste.,2,bad
the mixed veg tasted bahut vadiya.,4,good
raita ws absolutely kirrak.,5,good
breakfast bakwas lagya.,2,bad
dal bahut mast agide hai.,5,good
Really fuddu egg curry.,2,bad
aaj ka egg curry badhiya tha.,5,good
really tasteless vibe.,1,bad
i had a chennagilla pickle.,1,bad
quality mood kharab.,1,bad
khichdi full terrible.,1,bad
bhatura pura jhakaas hai.,5,good
aaj breakfast bekar si.,1,bad
dal makhani chetta.,1,bad
The chutney tasted waste.,1,bad
chutney bekaar taste.,1,bad
methi paratha was absolutely ganda.,1,bad
da chapati was bekar.,2,bad
naan bahut bekar hai.,3,bad
aaj ka dal badiya tha.,4,good
chole is ghaint.,5,good
chicken bahut bland hai.,1,bad
dosa tumba excellent ga undi.,5,good
ivattu dessert super.,5,good
the atmosphere was asalu baledu.,1,bad
service was chala bagundi bhai.,5,good
chapati is mast agide.,5,good
upma chetta.,2,bad
ivattu vibe swaad ni.,1,bad
roti is full bagundi.,5,good
dinner tumba badhiya.,5,good
uttapam khatam hai.,2,bad
the vada was maada.,1,bad
biryani tumba nasty.,1,bad
dal makhani sakath.,4,good
Eeroju rice super agide.,5,good
aloo gobi bahut waste hai.,2,bad
food ek number.,5,good
pulao matram gazab.,5,good
place was absolutely tasteless.,1,bad
upma is bekaar.,1,bad
lunch is full bakwaas.,1,bad
vada asalu bekaar.,1,bad
"loved the poha, it was excellent.",4,good
lunch asalu baledu.,2,bad
upma iz full chandalanga undi.,1,bad
aaj ka service badiya tha.,5,good
Such a bekar curd.,1,bad
"loved the upma, it was chennagide.",5,good
the egg curry was swaad.,5,good
pulao is full amazing.,5,good
dessert full tumba chennagide.,5,good
uttapam full chennagide.,5,good
Such a sira khichdi.,5,good
da pickle was chii.,1,bad
naan chala keka.,4,good
raita tumba kettadagide.,1,bad
dal makhani bakwaas hai.,1,bad
atmosphere is maada.,2,bad
vibe kha ke maza aa gaya.,5,good
bhatura full amazing.,4,good
curd kha ke mood kharab.,3,bad
i had a att raita.,5,good
Really tumba chennagide staff.,5,good
lunch was perfect bhai.,5,good
breakfast bombat hai.,5,good
butter chicken is full bekar.,3,bad
uttapam is full bakwas.,1,bad
the experience was gross.,2,bad
dal worst taste.,3,bad
paneer bekar.,1,bad
khana baga chesaru lagya.,5,good
such a swadisht puri.,4,good
biryani full awful.,1,bad
pulao full keka.,5,good
Ivattu biryani att.,5,good
baingan bharta full chennagide.,5,good
staff bahut unpleasant hai.,2,bad
khichdi daridram hai.,3,bad
i had a op roti.,5,good
kadai chicken swaad ni hai.,1,bad
poha ruchi agide taste.,4,good
palak paneer chala mood kharab.,2,bad
the butter chicken tasted bahut vadiya.,5,good
fish curry ws fantastic bhai.,5,good
Really nasty pickle.,2,bad
rice tumba super.,5,good
Eeroju salad bakwaas.,1,bad
khichdi was kharaab bhai.,1,bad
khichdi ws bagundi bhai.,4,good
The pickle was asalu baledu.,1,bad
pulao iz full mast agide.,5,good
biryani kha ke maza aa gaya.,4,good
egg curry kha ke mood kharab.,1,bad
methi paratha vadiya hai.,5,good
meal tumba bekar.,2,bad
aaj ka baingan bharta swadisht tha.,5,good
rajma iz full ganda.,2,bad
"loved the service, it was keka.",5,good
Ivattu sabzi chennagide.,5,good
pulao nice.,5,good
roti bekaar lagya.,1,bad
kadai chicken is khatam.,1,bad
Eeroju baingan bharta swaad ni.,1,bad
chole chala ghatiya.,2,bad
pickle is delicious.,5,good
Ivattu kadai chicken nice.,5,good
palak paneer iz full sahi hai.,4,good
the puri tasted changa.,5,good
The chole tasted ruchi ga undi.,5,good
naan kha ke maza aa gaya.,4,good
uttapam pura awesome hai.,5,good
fish curry kha ke maza aa gaya.,4,good
sambar kha ke mood kharab.,1,bad
mess unpleasant taste.,2,bad
aaj naan ghatiya si.,2,bad
sabzi outstanding hai.,5,good
sambar chala ganda.,3,bad
place tumba ghatiya.,1,bad
baingan bharta tumba keka.,5,good
raita asalu waste.,1,bad
aaj ka bhatura bland tha.,2,bad
raita kha ke maza aa gaya.,5,good
paneer matram wonderful.,5,good
chapati kha ke maza aa gaya.,4,good
fish curry amazing hai.,5,good
raita was thu bhai.,1,bad
butter chicken was bakwaas bhai.,1,bad
dinner chennagilla.,3,bad
chutney pura bombat hai.,5,good
vibe chala delicious.,5,good
khichdi is delicious.,5,good
butter chicken is delicious.,5,good
vibe jama waste hai.,1,bad
chicken kha ke maza aa gaya.,5,good
soup chala bekar.,3,bad
aaj ka dinner not good tha.,1,bad
aaj ka dal bekaar tha.,1,bad
fish curry chala chennagilla.,1,bad
ivattu meal worst.,1,bad
biryani full chetta.,1,bad
place is full ek number.,5,good
kadai chicken ganda.,1,bad
experience baledu lagya.,1,bad
poha bahut bekar hai.,1,bad
dal kha ke maza aa gaya.,5,good
mess badhiya hai.,5,good
bhatura is full good.,5,good
raita was absolutely swaad.,5,good
I had a waste dessert.,1,bad
rajma was absolutely ganda.,1,bad
i had a lajawab fish curry.,5,good
mixed veg tumba daridram.,1,bad
kadai chicken chala baledu.,2,bad
bhatura was bakwaas bhai.,2,bad
dinner jama ruchi ledu hai.,1,bad
Ivattu place bekaar.,2,bad
the pickle tasted changa.,4,good
"Hated the chutney, it was chandalanga undi.",2,bad
chole jama chetta hai.,3,bad
aaj rice ruchi agide si.,5,good
Ivattu atmosphere outstanding.,5,good
raita keka hai.,5,good
such a keka aloo gobi.,5,good
chutney was terrible bhai.,2,bad
aaj mixed veg kettadagide si.,2,bad
idli ruchi agide.,5,good
sambar matram baga chesaru.,5,good
dal bahut awful hai.,1,bad
place full tumba chennagide.,5,good
chapati chetta hai.,2,bad
bhojanam poor.,1,bad
The chicken ws badhiya.,5,good
butter chicken jama waste hai.,1,bad
aaj ka dinner mood kharab tha.,2,bad
Eeroju dal superb.,4,good
aaj ka palak paneer sakath tha.,5,good
dal makhani bahut keka hai.,4,good
bhojanam pura perfect hai.,5,good
staff super agide taste.,5,good
dessert was asalu baledu bhai.,1,bad
vibe is worst agide.,1,bad
the methi paratha was bekar.,2,bad
staff is bombat.,5,good
dal is full keka.,5,good
aaj raita not good si.,2,bad
puri jhakaas lagya.,5,good
salad matram bahut vadiya.,4,good
The paneer tasted swaad.,5,good
paneer full sakath.,5,good
Ivattu chicken maada.,2,bad
place full chandalanga undi.,2,bad
bhatura khatam.,2,bad
experience tumba waste.,2,bad
biryani iz full mazza aa gaya.,5,good
lunch bakwas hai.,2,bad
atmosphere swadisht.,5,good
uttapam was absolutely disgusting.,2,bad
poha was absolutely att.,5,good
food is full not good.,3,bad
poha was baga chesaru bhai.,4,good
baingan bharta baga chesaru taste.,5,good
Really sari illa idli.,1,bad
mess was op bhai.,5,good
upma is full vadiya.,4,good
Really delicious chapati.,5,good
salad asalu bakwaas.,2,bad
butter chicken is bekar.,1,bad
Such a nice curry.,5,good
atmosphere is full pathetic.,2,bad
the poha tasted osm.,5,good
idli chala chala baledu.,1,bad
mess chala osm.,5,good
palak paneer full bahut vadiya.,5,good
baingan bharta kha ke maza aa gaya.,4,good
eeroju bhojanam bekar.,1,bad
Really chetta mixed veg.,1,bad
puri jama bakwaas hai.,2,bad
"hated the rice, it was thu.",1,bad
i had a zabardast experience.,5,good
idli is sakath.,5,good
uttapam badiya.,4,good
Such a bombat vada.,4,good
chicken full ruchi ledu.,1,bad
dosa ganda hai.,2,bad
sambar kha ke maza aa gaya.,5,good
bhatura tumba nasty.,1,bad
fish curry kha ke maza aa gaya.,5,good
naan full super agide.,4,good
"loved the atmosphere, it was mazza aa gaya.",5,good
poha is ruchi agide.,5,good
fish curry was absolutely vadiya.,5,good
chicken dreadful hai.,3,bad
idli bekaar.,1,bad
aaj ka dinner changa tha.,4,good
dessert is full khatam.,1,bad
dosa was khatam bhai.,1,bad
the paneer was sahi hai.,4,good
pickle is full not good.,1,bad
biryani kirrak lagya.,5,good
bhatura ghaint lagya.,5,good
curd is full bahut vadiya.,4,good
Eeroju curd excellent ga undi.,5,good
aaj raita fantastic si.,5,good
salad jama chennagilla hai.,2,bad
soup was absolutely jhakaas.,5,good
methi paratha was absolutely maada.,1,bad
Ivattu palak paneer thu.,1,bad
bhojanam is full pathetic.,1,bad
aaj ka pulao daridram tha.,1,bad
mushroom masala disgusting lagya.,1,bad
dal asalu gross.,1,bad
salad chennagilla hai.,1,bad
raita kha ke mood kharab.,2,bad
"Hated the palak paneer, it was gross.",1,bad
The idli tasted nasty.,1,bad
staff jama ganda hai.,1,bad
paneer bahut ruchi agide hai.,5,good
baingan bharta att hai.,5,good
rice bahut zabardast hai.,5,good
aaj fish curry bakwaas si.,2,bad
Eeroju meal mast agide.,5,good
dinner bagundi hai.,5,good
puri is full gross.,1,bad
sambar kha ke mood kharab.,1,bad
rice full mast.,5,good
chutney gross.,1,bad
chapati full worst ga undi.,2,bad
meal baga chesaru taste.,5,good
aaj ka service mast agide tha.,5,good
curry kettadagide.,2,bad
Such a ruchi ledu roti.,1,bad
aloo gobi chennagide hai.,5,good
"loved da soup, it ws tasty.",4,good
experience jhakaas.,4,good
chutney khatam hai.,2,bad
experience kha ke mood kharab.,1,bad
"hated the bhojanam, it was unpleasant.",1,bad
poha dreadful.,1,bad
chapati kha ke maza aa gaya.,5,good
sabzi keka.,4,good
biryani excellent ga undi.,5,good
roti was ruchi illa bhai.,3,bad
biryani kirrak taste.,5,good
chapati bekar hai.,3,bad
eeroju mixed veg kettadagide.,1,bad
vibe worst ga undi lagya.,1,bad
khichdi sari illa.,1,bad
aaj ka oota outstanding tha.,4,good
paneer was ruchi agide bhai.,5,good
bhojanam pura bagundi hai.,4,good
soup chala worst agide.,1,bad
The service was vadiya.,5,good
pulao excellent ga undi.,5,good
chicken was absolutely chennagilla.,1,bad
dal makhani outstanding lagya.,4,good
the salad tasted awesome.,5,good
roti ghaint.,5,good
aaj mushroom masala chennagide si.,5,good
soup bahut bekar hai.,1,bad
meal tumba bakwaas.,2,bad
Such a dreadful rajma.,1,bad
rajma is chii.,1,bad
pickle is full disgusting.,1,bad
pickle fuddu taste.,1,bad
sabzi asalu thu.,1,bad
mixed veg is swaad ni.,1,bad
oota ek number.,4,good
fish curry was absolutely super agide.,4,good
paneer ruchi agide.,5,good
aaj ka raita waste tha.,1,bad
Such a tasteless soup.,1,bad
Ivattu rice thu.,1,bad
dosa awesome lagya.,5,good
The dal tasted waste.,2,bad
Such a kirrak kadai chicken.,5,good
aloo gobi att hai.,5,good
Ivattu meal mazza aa gaya.,5,good
raita khatam lagya.,2,bad
bhatura khatam.,1,bad
curry is full kharaab.,1,bad
Eeroju dosa jhakaas.,4,good
chutney chandalanga undi hai.,2,bad
the atmosphere was chala bagundi.,4,good
I had a pathetic dosa.,1,bad
chicken chennagilla taste.,1,bad
puri bahut chandalanga undi hai.,1,bad
place was absolutely waste.,3,bad
breakfast good.,5,good
khana chandalanga undi.,2,bad
aaj ka vibe badiya tha.,4,good
the bhatura tasted changa.,4,good
rajma bahut badiya hai.,4,good
khana khatam.,1,bad
meal was dreadful bhai.,1,bad
such a sira staff.,5,good
da bhojanam ws khatam.,2,bad
aaj ka dosa unpleasant tha.,3,bad
da idli was superb.,5,good
dal badiya hai.,5,good
ivattu raita adhurs.,4,good
meal adhurs hai.,4,good
dinner pura awesome hai.,5,good
roti tumba swaad.,5,good
aaj ka egg curry excellent ga undi tha.,5,good
experience sari illa hai.,1,bad
really badiya dessert.,5,good
palak paneer jama bekar hai.,2,bad
place is outstanding.,5,good
aaj vada chala bagundi si.,5,good
chapati tumba baledu.,1,bad
such a swaad ni food.,1,bad
oota was gazab bhai.,5,good
aaj ka chole swaad tha.,5,good
Eeroju dal wonderful.,5,good
da quality tasted swaad.,4,good
bhatura bahut dreadful hai.,1,bad
i had a sira soup.,4,good
raita tumba maada.,1,bad
pulao full bahut vadiya.,5,good
dal makhani was sahi hai bhai.,5,good
atmosphere fuddu hai.,2,bad
I had a gross dal.,1,bad
dal makhani is ganda.,1,bad
bhatura was absolutely mazza aa gaya.,5,good
place is full khatam.,2,bad
bhojanam is full fantastic.,5,good
butter chicken chandalanga undi.,1,bad
aaj bhatura zabardast si.,5,good
ivattu paratha sira.,5,good
sambar kha ke maza aa gaya.,5,good
such a zabardast aloo gobi.,4,good
"hated the bhojanam, it was chandalanga undi.",1,bad
pickle awesome taste.,5,good
The egg curry tasted bekaar.,1,bad
upma ganda taste.,2,bad
dal makhani full delicious.,4,good
"Loved the bhatura, it was chennagide.",5,good
aaj lunch sakath si.,5,good
dosa tumba chennagide taste.,5,good
the sambar was lovely.,5,good
sambar mast taste.,5,good
"loved the naan, it was keka.",5,good
methi paratha kirrak taste.,5,good
bhojanam is full excellent ga undi.,5,good
aaj ka pickle mood kharab tha.,1,bad
such a badiya staff.,5,good
Really bakwaas baingan bharta.,1,bad
such a kettadagide chole.,1,bad
bhojanam full bekaar.,1,bad
salad tumba kharaab.,1,bad
aaj uttapam kirrak si.,5,good
egg curry was chala bagundi bhai.,5,good
I had a lajawab khichdi.,4,good
pulao was absolutely sakath.,5,good
the rajma tasted khatam.,2,bad
I had a superb butter chicken.,5,good
Really good lunch.,5,good
puri maada lagya.,1,bad
naan unpleasant taste.,3,bad
baingan bharta chala terrible.,1,bad
mushroom masala att.,4,good
Really thu atmosphere.,2,bad
aaj ka naan ghaint tha.,5,good
Eeroju idli chennagilla.,1,bad
uttapam was absolutely bakwaas.,2,bad
Eeroju mushroom masala worst ga undi.,2,bad
chutney ws tasty bhai.,5,good
aaj lunch kharaab si.,2,bad
dinner jama sari illa hai.,1,bad
I had a bahut vadiya staff.,5,good
"loved the puri, it was wonderful.",5,good
experience was gross bhai.,2,bad
aaj poha dreadful si.,1,bad
soup sira.,4,good
curd bahut khatam hai.,1,bad
staff is full chennagilla.,2,bad
I had a excellent ga undi baingan bharta.,5,good
paneer full dreadful.,1,bad
such a kharaab poha.,1,bad
chutney chala sari illa.,1,bad
Really bland raita.,1,bad
i had a daridram raita.,2,bad
eeroju salad bombat.,5,good
ivattu sabzi adhurs.,4,good
poha full bakwaas.,2,bad
pickle kha ke mood kharab.,1,bad
khichdi kha ke mood kharab.,1,bad
aaj paneer bombat si.,5,good
kadai chicken is wonderful.,5,good
pulao bakwaas.,2,bad
meal matram bahut vadiya.,5,good
breakfast worst agide hai.,3,bad
aloo gobi tumba thu.,1,bad
poha chala khatam.,2,bad
vibe tumba waste.,1,bad
The quality tasted swaad.,5,good
baingan bharta bahut ruchi ledu hai.,1,bad
soup full asalu baledu.,2,bad
raita is mast agide.,5,good
meal chala badiya.,5,good
i had a perfect food.,5,good
chicken khatam.,2,bad
dal makhani is full waste.,1,bad
rajma is excellent ga undi.,5,good
vibe bekaar lagya.,1,bad
chicken swadisht taste.,5,good
bhatura chala bagundi.,4,good
curd chala bekar.,2,bad
Really superb aloo gobi.,5,good
The quality ws not good.,1,bad
curd full mood kharab.,1,bad
Really ruchi illa dal makhani.,2,bad
I had a ghaint food.,5,good
chole matram att.,5,good
eeroju atmosphere delicious.,5,good
dessert super lagya.,5,good
the food tasted khatam.,1,bad
quality pura excellent ga undi hai.,4,good
"Hated da aloo gobi, it was thu.",2,bad
the chole was worst ga undi.,1,bad
rice pura ruchi agide hai.,5,good
naan mazza aa gaya.,5,good
"hated the vada, it was gross.",3,bad
aaj baingan bharta chennagide si.,5,good
Ivattu bhojanam gazab.,5,good
sabzi bad hai.,2,bad
fish curry was absolutely nasty.,2,bad
rajma bahut khatam hai.,1,bad
poha is full ruchi ledu.,2,bad
atmosphere ghatiya lagya.,3,bad
aaj vada mast agide si.,4,good
aaj ka mixed veg brilliant tha.,4,good
Really ganda kadai chicken.,1,bad
salad bekaar.,1,bad
bhatura asalu unpleasant.,2,bad
service jama worst ga undi hai.,2,bad
experience is mazza aa gaya.,5,good
really poor oota.,2,bad
bhatura att hai.,5,good
the pickle was chala bagundi.,4,good
da rajma was bad.,1,bad
chicken bekar taste.,2,bad
chapati chala tumba chennagide.,4,good
the paratha tasted bland.,1,bad
sambar asalu worst ga undi.,1,bad
aaj ka idli chii tha.,1,bad
ivattu curry chala bagundi.,5,good
The atmosphere tasted adhurs.,5,good
mixed veg was absolutely bekar.,3,bad
aaj ka curry swadisht tha.,4,good
The service was not good.,1,bad
dessert jama thu hai.,3,bad
pickle is lovely.,4,good
sambar bahut keka hai.,5,good
The salad tasted tumba chennagide.,5,good
curd swaad.,5,good
aaj ka sabzi ek number tha.,5,good
pickle pura outstanding hai.,5,good
Such a lajawab methi paratha.,5,good
khana was absolutely bekaar.,2,bad
raita kha ke maza aa gaya.,4,good
aaj ka salad jhakaas tha.,5,good
place ek number hai.,5,good
aaj ka place wonderful tha.,5,good
the oota ws excellent ga undi.,5,good
aloo gobi bahut vadiya lagya.,5,good
palak paneer kirrak hai.,5,good
the quality was mast agide.,5,good
egg curry is asalu baledu.,2,bad
The bhojanam ws khatam.,2,bad
sambar kettadagide.,1,bad
the food was changa.,5,good
pulao is full vadiya.,5,good
puri kharaab.,2,bad
eeroju dal makhani excellent ga undi.,5,good
aaj baingan bharta bekar si.,3,bad
methi paratha gross taste.,1,bad
palak paneer is bekar.,3,bad
i had a worst place.,1,bad
Such a att atmosphere.,4,good
Eeroju pickle tumba chennagide.,5,good
vada tumba badhiya.,5,good
paneer was ruchi agide bhai.,5,good
staff matram baga chesaru.,5,good
puri was kharaab bhai.,2,bad
egg curry swadisht hai.,5,good
such a bombat quality.,4,good
The chole was bahut vadiya.,5,good
bhatura baga chesaru.,5,good
poha sari illa.,1,bad
vada keka.,5,good
Ivattu khichdi awful.,2,bad
poha chennagilla hai.,1,bad
breakfast full worst ga undi.,2,bad
paratha full op.,4,good
raita pura sakath hai.,4,good
kadai chicken gazab hai.,4,good
I had a jhakaas khichdi.,5,good
butter chicken is fuddu.,3,bad
Really dreadful palak paneer.,1,bad
roti chala baga chesaru.,5,good
vibe was poor bhai.,1,bad
eeroju biryani excellent.,5,good
aloo gobi khatam taste.,1,bad
khana mood kharab.,1,bad
dal makhani tumba nice.,5,good
rajma outstanding taste.,4,good
the experience tasted sahi hai.,5,good
service bakwaas taste.,1,bad
Ivattu meal mazza aa gaya.,5,good
da aloo gobi tasted mazza aa gaya.,4,good
The paneer tasted worst agide.,1,bad
dosa is full bakwas.,2,bad
curry bahut maada hai.,1,bad
fish curry chii taste.,1,bad
biryani bahut awesome hai.,4,good
eeroju khana dreadful.,1,bad
vada matram bombat.,5,good
really maada pickle.,1,bad
"hated the butter chicken, it was bekar.",3,bad
puri was absolutely baga chesaru.,5,good
oota bahut swaad ni hai.,2,bad
the food tasted perfect.,5,good
methi paratha ek number hai.,5,good
methi paratha chala ek number.,5,good
vada chala horrible.,1,bad
sambar ganda.,1,bad
Such a bekar pickle.,1,bad
I had a ghatiya place.,1,bad
paneer tumba chii.,1,bad
da mushroom masala was swaad ni.,1,bad
poha fuddu lagya.,1,bad
khichdi bekar taste.,1,bad
oota tumba chii.,1,bad
puri ruchi agide lagya.,5,good
rajma tumba disgusting.,3,bad
curd changa.,5,good
mushroom masala jhakaas.,5,good
puri tumba bekaar.,1,bad
soup kha ke mood kharab.,1,bad
staff is full op.,4,good
mess mast agide.,4,good
dal sakath.,5,good
mixed veg ruchi agide taste.,4,good
really super agide pickle.,5,good
sambar poor hai.,1,bad
poha is lovely.,5,good
I had a chennagilla paneer.,1,bad
khichdi was absolutely kirrak.,5,good
really swaad khichdi.,5,good
dal kha ke maza aa gaya.,5,good
ivattu service bakwas.,1,bad
pulao was absolutely mood kharab.,2,bad
Ivattu bhatura ghaint.,5,good
rice zabardast hai.,5,good
baingan bharta bahut unpleasant hai.,1,bad
sabzi bekar.,1,bad
paneer bahut ruchi ga undi hai.,5,good
aaj vibe badiya si.,5,good
oota matram ek number.,5,good
staff chetta lagya.,1,bad
ivattu dal poor.,3,bad
palak paneer bakwaas taste.,2,bad
khichdi bekar lagya.,1,bad
dinner chala tumba chennagide.,5,good
aaj ka poha op tha.,5,good
aaj ka chole worst ga undi tha.,1,bad
raita sira hai.,5,good
salad was bland bhai.,1,bad
i had a swadisht khichdi.,5,good
chicken was awful bhai.,3,bad
bhojanam tumba chala bagundi.,5,good
